Biological Process	n
telomere organization	2
thioester metabolic process	2
trigeminal nerve development	2
vacuole organization	2
vesicle organization	2
viral genome replication	2
viral life cycle	2
'de novo' posttranslational protein folding	1
'de novo' protein folding	1
acid secretion	1
acidic amino acid transport	1
actin filament bundle assembly	1
actin filament bundle organization	1
activation of JUN kinase activity	1
activation of phospholipase C activity	1
acute inflammatory response	1
acyl-CoA biosynthetic process	1
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1
adenine nucleotide transport	1
ADP transport	1
alpha-amino acid biosynthetic process	1
amino acid import	1
amino sugar biosynthetic process	1
amino sugar metabolic process	1
aminoglycan biosynthetic process	1
aminoglycan catabolic process	1
androgen receptor signaling pathway	1
anion homeostasis	1
anterior/posterior axis specification	1
apoptotic cell clearance	1
apoptotic mitochondrial changes	1
arachidonic acid metabolic process	1
astrocyte activation	1
astrocyte development	1
ATP hydrolysis coupled cation transmembrane transport	1
ATP synthesis coupled electron transport	1
ATP transport	1
autophagosome assembly	1
autophagosome organization	1
autophagy of mitochondrion	1
axis elongation	1
axis specification	1
axon ensheathment in central nervous system	1
axonemal dynein complex assembly	1
axoneme assembly	1
B cell apoptotic process	1
B cell homeostasis	1
basement membrane organization	1
behavioral defense response	1
behavioral fear response	1
behavioral response to cocaine	1
behavioral response to pain	1
beta-catenin destruction complex disassembly	1
BMP signaling pathway	1
body fluid secretion	1
calcium ion import	1
cAMP catabolic process	1
cAMP metabolic process	1
carbohydrate biosynthetic process	1
carbohydrate derivative transport	1
carbohydrate homeostasis	1
cardiac cell development	1
cardiac cell fate commitment	1
cardiac chamber development	1
cardiac chamber formation	1
cardiac chamber morphogenesis	1
cardiac conduction	1
cardiac muscle cell action potential	1
cardiac muscle cell development	1
cardiac muscle cell fate commitment	1
cardiac muscle cell myoblast differentiation	1
cardiac muscle contraction	1
cardiac myofibril assembly	1
cardiac neural crest cell development involved in heart development	1
cardiac neural crest cell differentiation involved in heart development	1
cardiac septum development	1
cardiac septum morphogenesis	1
catecholamine secretion	1
caveolin-mediated endocytosis	1
Cdc42 protein signal transduction	1
cell aging	1
cell chemotaxis to fibroblast growth factor	1
cell cycle checkpoint	1
cell differentiation involved in kidney development	1
cell differentiation involved in metanephros development	1
cell fate commitment involved in pattern specification	1
cell fate determination	1
cell fate specification involved in pattern specification	1
cell killing	1
cell migration involved in heart development	1
cell proliferation involved in kidney development	1
cell proliferation involved in metanephros development	1
cell recognition	1
cell surface receptor signaling pathway involved in heart development	1
cell-cell adhesion mediated by cadherin	1
cell-cell adhesion via plasma-membrane adhesion molecules	1
cell-matrix adhesion	1
cellular amino acid biosynthetic process	1
cellular carbohydrate metabolic process	1
cellular component assembly involved in morphogenesis	1
cellular component maintenance	1
cellular detoxification	1
cellular iron ion homeostasis	1
cellular modified amino acid catabolic process	1
cellular modified amino acid metabolic process	1
cellular monovalent inorganic cation homeostasis	1
cellular oxidant detoxification	1
cellular protein complex disassembly	1
cellular respiration	1
cellular response to alcohol	1
cellular response to amino acid starvation	1
cellular response to antibiotic	1
cellular response to biotic stimulus	1
cellular response to BMP stimulus	1
cellular response to cadmium ion	1
cellular response to cAMP	1
cellular response to catecholamine stimulus	1
cellular response to decreased oxygen levels	1
cellular response to dopamine	1
cellular response to dsRNA	1
cellular response to ethanol	1
cellular response to fatty acid	1
cellular response to glucose starvation	1
cellular response to growth hormone stimulus	1
cellular response to hydrogen peroxide	1
cellular response to hypoxia	1
cellular response to inorganic substance	1
cellular response to interferon-gamma	1
cellular response to ketone	1
cellular response to light stimulus	1
cellular response to lipopolysaccharide	1
cellular response to mechanical stimulus	1
cellular response to metal ion	1
cellular response to molecule of bacterial origin	1
cellular response to monoamine stimulus	1
cellular response to nerve growth factor stimulus	1
cellular response to osmotic stress	1
cellular response to oxygen levels	1
cellular response to platelet-derived growth factor stimulus	1
cellular response to prostaglandin E stimulus	1
cellular response to prostaglandin stimulus	1
cellular response to radiation	1
cellular response to retinoic acid	1
cellular response to topologically incorrect protein	1
cellular response to transforming growth factor beta stimulus	1
cellular response to unfolded protein	1
cellular response to vascular endothelial growth factor stimulus	1
cellular senescence	1
cellular transition metal ion homeostasis	1
CENP-A containing chromatin organization	1
CENP-A containing nucleosome assembly	1
central nervous system myelination	1
central nervous system neuron axonogenesis	1
central nervous system projection neuron axonogenesis	1
centriole assembly	1
centriole replication	1
centromere complex assembly	1
centrosome cycle	1
centrosome duplication	1
centrosome localization	1
ceramide biosynthetic process	1
ceramide metabolic process	1
cerebral cortex development	1
cerebral cortex neuron differentiation	1
cGMP biosynthetic process	1
cGMP metabolic process	1
cGMP-mediated signaling	1
chemokine-mediated signaling pathway	1
chemosensory behavior	1
cholesterol biosynthetic process	1
cholesterol metabolic process	1
chromatin assembly	1
chromatin assembly or disassembly	1
chromatin remodeling at centromere	1
chromatin silencing at rDNA	1
cilium assembly	1
cilium movement	1
cilium organization	1
circadian regulation of gene expression	1
clathrin-dependent endocytosis	1
coenzyme catabolic process	1
cofactor catabolic process	1
collagen biosynthetic process	1
collagen catabolic process	1
collateral sprouting	1
complement activation	1
complement activation, lectin pathway	1
contractile actin filament bundle assembly	1
copper ion transport	1
cornification	1
coronary vasculature development	1
coronary vasculature morphogenesis	1
cortical actin cytoskeleton organization	1
cortical cytoskeleton organization	1
craniofacial suture morphogenesis	1
cyclic nucleotide biosynthetic process	1
cyclic nucleotide catabolic process	1
cyclic purine nucleotide metabolic process	1
cytokine biosynthetic process	1
cytokine metabolic process	1
cytokine production involved in immune response	1
cytokine secretion	1
cytokine secretion involved in immune response	1
cytokinetic process	1
cytoplasmic microtubule organization	1
cytoskeleton-dependent cytokinesis	1
cytosolic transport	1
defense response to bacterium	1
defense response to Gram-negative bacterium	1
defense response to Gram-positive bacterium	1
dendritic cell chemotaxis	1
dendritic cell migration	1
detoxification	1
developmental pigmentation	1
dicarboxylic acid catabolic process	1
dicarboxylic acid metabolic process	1
dicarboxylic acid transport	1
digestive tract morphogenesis	1
disruption of cells of other organism	1
diterpenoid metabolic process	1
DNA damage checkpoint	1
DNA damage response, signal transduction by p53 class mediator	1
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	1
DNA integrity checkpoint	1
DNA replication-independent nucleosome assembly	1
DNA replication-independent nucleosome organization	1
DNA-templated transcription, elongation	1
dopamine receptor signaling pathway	1
dopamine transport	1
dopaminergic neuron differentiation	1
dorsal spinal cord development	1
dorsal/ventral neural tube patterning	1
drug catabolic process	1
dsRNA fragmentation	1
early endosome to late endosome transport	1
ectodermal placode development	1
ectodermal placode formation	1
ectodermal placode morphogenesis	1
electron transport chain	1
embryonic camera-type eye development	1
embryonic camera-type eye morphogenesis	1
embryonic digestive tract development	1
embryonic digestive tract morphogenesis	1
embryonic epithelial tube formation	1
embryonic eye morphogenesis	1
embryonic pattern specification	1
endocardial cushion development	1
endocardial cushion morphogenesis	1
endochondral ossification	1
endocrine pancreas development	1
endoplasmic reticulum unfolded protein response	1
endosomal transport	1
endosome organization	1
endothelial cell chemotaxis	1
endothelial cell chemotaxis to fibroblast growth factor	1
endothelial cell proliferation	1
energy reserve metabolic process	1
entrainment of circadian clock	1
entry into cell of other organism involved in symbiotic interaction	1
entry into host	1
entry into host cell	1
entry into other organism involved in symbiotic interaction	1
ephrin receptor signaling pathway	1
epidermal cell differentiation	1
epidermis development	1
epithelial cell differentiation involved in kidney development	1
epithelial cell proliferation involved in liver morphogenesis	1
epithelial to mesenchymal transition	1
epithelial tube branching involved in lung morphogenesis	1
epithelial tube formation	1
ERAD pathway	1
erythrocyte development	1
erythrocyte differentiation	1
erythrocyte homeostasis	1
erythrocyte maturation	1
establishment of organelle localization	1
establishment or maintenance of cell polarity	1
extracellular matrix disassembly	1
face development	1
fatty acid biosynthetic process	1
fatty acid derivative biosynthetic process	1
fatty acid homeostasis	1
fatty acid oxidation	1
fatty-acyl-CoA biosynthetic process	1
fatty-acyl-CoA metabolic process	1
Fc receptor mediated stimulatory signaling pathway	1
Fc receptor signaling pathway	1
Fc-epsilon receptor signaling pathway	1
Fc-gamma receptor signaling pathway	1
Fc-gamma receptor signaling pathway involved in phagocytosis	1
fear response	1
feeding behavior	1
fibroblast activation	1
fibroblast migration	1
fibroblast proliferation	1
filopodium assembly	1
folic acid metabolic process	1
folic acid-containing compound metabolic process	1
forebrain regionalization	1
G-protein coupled receptor internalization	1
G0 to G1 transition	1
G1 DNA damage checkpoint	1
gamma-aminobutyric acid signaling pathway	1
gene silencing by miRNA	1
germinal center formation	1
glial cell activation	1
glomerular mesangium development	1
glomerulus development	1
glomerulus vasculature development	1
gluconeogenesis	1
glucose homeostasis	1
glucose import in response to insulin stimulus	1
glutamate secretion	1
glutamine family amino acid metabolic process	1
glutamine metabolic process	1
glycerolipid biosynthetic process	1
glycerophospholipid biosynthetic process	1
glycolipid biosynthetic process	1
glycolipid metabolic process	1
glycosaminoglycan biosynthetic process	1
glycosaminoglycan catabolic process	1
glycosphingolipid biosynthetic process	1
glycosphingolipid metabolic process	1
glycosyl compound metabolic process	1
glycosylceramide metabolic process	1
Golgi inheritance	1
granulocyte chemotaxis	1
granulocyte migration	1
growth hormone receptor signaling pathway	1
growth hormone secretion	1
GTP metabolic process	1
guanosine-containing compound metabolic process	1
heart field specification	1
heart formation	1
hematopoietic stem cell proliferation	1
hepatocyte proliferation	1
hexose biosynthetic process	1
hindbrain development	1
histone arginine methylation	1
histone deubiquitination	1
histone H2A monoubiquitination	1
histone H2A ubiquitination	1
histone H3 acetylation	1
histone H3-K27 methylation	1
histone lysine methylation	1
histone monoubiquitination	1
histone ubiquitination	1
histone-serine phosphorylation	1
homophilic cell adhesion via plasma membrane adhesion molecules	1
homotypic cell-cell adhesion	1
hyaluronan catabolic process	1
hyaluronan metabolic process	1
hyperosmotic response	1
icosanoid metabolic process	1
immune response-activating cell surface receptor signaling pathway	1
immune response-regulating cell surface receptor signaling pathway	1
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	1
immunoglobulin production	1
import across plasma membrane	1
import into nucleus	1
inner dynein arm assembly	1
inner ear morphogenesis	1
inorganic cation import across plasma membrane	1
inorganic ion import across plasma membrane	1
inositol phosphate biosynthetic process	1
insulin receptor signaling pathway	1
insulin secretion	1
interaction with host	1
interferon-gamma-mediated signaling pathway	1
intracellular estrogen receptor signaling pathway	1
intracellular signal transduction involved in G1 DNA damage checkpoint	1
intraspecies interaction between organisms	1
intrinsic apoptotic signaling pathway	1
intrinsic apoptotic signaling pathway by p53 class mediator	1
intrinsic apoptotic signaling pathway in response to DNA damage	1
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
ionotropic glutamate receptor signaling pathway	1
IRE1-mediated unfolded protein response	1
isoprenoid metabolic process	1
JAK-STAT cascade	1
JAK-STAT cascade involved in growth hormone signaling pathway	1
keratinization	1
keratinocyte differentiation	1
kidney vasculature development	1
killing of cells of other organism	1
L-glutamate import	1
L-glutamate transmembrane transport	1
L-serine metabolic process	1
lactation	1
lens development in camera-type eye	1
leukocyte apoptotic process	1
leukocyte homeostasis	1
lipid catabolic process	1
lipid homeostasis	1
lipid oxidation	1
lipopolysaccharide-mediated signaling pathway	1
lipoprotein biosynthetic process	1
lipoprotein catabolic process	1
lipoprotein metabolic process	1
liposaccharide metabolic process	1
liver morphogenesis	1
long-chain fatty-acyl-CoA biosynthetic process	1
long-chain fatty-acyl-CoA metabolic process	1
lymph node development	1
lymphocyte apoptotic process	1
lymphocyte differentiation	1
lymphocyte homeostasis	1
lysosome organization	1
lytic vacuole organization	1
macromolecule deacylation	1
macromolecule depalmitoylation	1
macrophage activation	1
macrophage chemotaxis	1
macrophage differentiation	1
macrophage migration	1
magnesium ion homeostasis	1
magnesium ion transmembrane transport	1
magnesium ion transport	1
male meiotic nuclear division	1
mammary gland morphogenesis	1
megakaryocyte differentiation	1
meiotic spindle organization	1
melanocyte differentiation	1
membrane depolarization	1
membrane depolarization during action potential	1
membrane depolarization during cardiac muscle cell action potential	1
membrane invagination	1
membrane protein ectodomain proteolysis	1
membrane protein proteolysis	1
mesenchymal cell development	1
mesenchymal cell proliferation	1
mesenchymal to epithelial transition	1
mesenchymal to epithelial transition involved in metanephros morphogenesis	1
metanephric glomerulus development	1
metanephric mesenchyme development	1
metanephric renal vesicle morphogenesis	1
metencephalon development	1
microglial cell activation	1
microtubule anchoring	1
microtubule anchoring at microtubule organizing center	1
microtubule bundle formation	1
microtubule cytoskeleton organization involved in mitosis	1
microtubule nucleation	1
microtubule organizing center localization	1
microtubule organizing center organization	1
microtubule polymerization	1
microtubule polymerization or depolymerization	1
microtubule-based transport	1
midbrain dopaminergic neuron differentiation	1
miRNA mediated inhibition of translation	1
miRNA metabolic process	1
mitochondrial ATP synthesis coupled electron transport	1
mitochondrial electron transport, NADH to ubiquinone	1
mitochondrial membrane organization	1
mitochondrial outer membrane permeabilization	1
mitochondrial outer membrane permeabilization involved in programmed cell death	1
mitochondrial respiratory chain complex assembly	1
mitochondrial respiratory chain complex I assembly	1
mitochondrial RNA metabolic process	1
mitochondrial transcription	1
mitochondrial translation	1
mitochondrial translational elongation	1
mitochondrial translational termination	1
mitochondrion disassembly	1
mitochondrion distribution	1
mitochondrion localization	1
mitotic cell cycle checkpoint	1
mitotic cytokinesis	1
mitotic DNA damage checkpoint	1
mitotic DNA integrity checkpoint	1
mitotic G1 DNA damage checkpoint	1
mitotic G1/S transition checkpoint	1
mitotic sister chromatid segregation	1
mitotic spindle organization	1
mononuclear cell migration	1
monosaccharide biosynthetic process	1
monovalent inorganic cation homeostasis	1
morphogenesis of an epithelial bud	1
morphogenesis of an epithelial fold	1
mRNA stabilization	1
mucopolysaccharide metabolic process	1
multi-multicellular organism process	1
multi-organism behavior	1
multicellular organismal response to stress	1
multicellular organismal signaling	1
muscle adaptation	1
muscle cell development	1
muscle contraction	1
myeloid cell development	1
myeloid cell homeostasis	1
myeloid leukocyte differentiation	1
myoblast differentiation	1
myofibril assembly	1
myotube differentiation	1
NADH dehydrogenase complex assembly	1
ncRNA processing	1
ncRNA transcription	1
negative regulation of angiogenesis	1
negative regulation of B cell activation	1
negative regulation of B cell proliferation	1
negative regulation of blood circulation	1
negative regulation of blood vessel endothelial cell migration	1
negative regulation of blood vessel morphogenesis	1
negative regulation of cAMP-mediated signaling	1
negative regulation of cardiocyte differentiation	1
negative regulation of cation transmembrane transport	1
negative regulation of cell activation	1
negative regulation of cell cycle G1/S phase transition	1
negative regulation of cell cycle phase transition	1
negative regulation of cell migration	1
negative regulation of cell motility	1
negative regulation of cellular catabolic process	1
negative regulation of cellular response to insulin stimulus	1
negative regulation of centrosome cycle	1
negative regulation of centrosome duplication	1
negative regulation of chromosome organization	1
negative regulation of cytoskeleton organization	1
negative regulation of dendrite development	1
negative regulation of DNA metabolic process	1
negative regulation of embryonic development	1
negative regulation of endothelial cell migration	1
negative regulation of epithelial cell migration	1
negative regulation of fat cell differentiation	1
negative regulation of fibroblast migration	1
negative regulation of G0 to G1 transition	1
negative regulation of G1/S transition of mitotic cell cycle	1
negative regulation of glial cell differentiation	1
negative regulation of gliogenesis	1
negative regulation of glucose import	1
negative regulation of glucose transmembrane transport	1
negative regulation of heart contraction	1
negative regulation of hormone secretion	1
negative regulation of immune system process	1
negative regulation of intrinsic apoptotic signaling pathway	1
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	1
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
negative regulation of ion transmembrane transport	1
negative regulation of ion transmembrane transporter activity	1
negative regulation of ion transport	1
negative regulation of leukocyte activation	1
negative regulation of leukocyte proliferation	1
negative regulation of lipid biosynthetic process	1
negative regulation of lipid catabolic process	1
negative regulation of lipid metabolic process	1
negative regulation of lymphocyte activation	1
negative regulation of lymphocyte proliferation	1
negative regulation of meiotic cell cycle	1
negative regulation of mitochondrion organization	1
negative regulation of mitotic cell cycle	1
negative regulation of mitotic cell cycle phase transition	1
negative regulation of mononuclear cell proliferation	1
negative regulation of morphogenesis of an epithelium	1
negative regulation of mRNA catabolic process	1
negative regulation of mRNA metabolic process	1
negative regulation of multi-organism process	1
negative regulation of muscle contraction	1
negative regulation of neuron death	1
negative regulation of organelle assembly	1
negative regulation of peptide hormone secretion	1
negative regulation of peptide secretion	1
negative regulation of platelet-derived growth factor receptor signaling pathway	1
negative regulation of potassium ion transmembrane transport	1
negative regulation of potassium ion transmembrane transporter activity	1
negative regulation of potassium ion transport	1
negative regulation of protein localization to cell surface	1
negative regulation of reactive oxygen species biosynthetic process	1
negative regulation of reactive oxygen species metabolic process	1
negative regulation of receptor-mediated endocytosis	1
negative regulation of reproductive process	1
negative regulation of response to DNA damage stimulus	1
negative regulation of response to wounding	1
negative regulation of RNA catabolic process	1
negative regulation of secretion	1
negative regulation of secretion by cell	1
negative regulation of sequestering of calcium ion	1
negative regulation of signal transduction by p53 class mediator	1
negative regulation of stem cell differentiation	1
negative regulation of striated muscle contraction	1
negative regulation of telomere maintenance	1
negative regulation of telomere maintenance via telomere lengthening	1
negative regulation of TOR signaling	1
negative regulation of translation, ncRNA-mediated	1
negative regulation of translational initiation	1
negative regulation of transporter activity	1
negative regulation of vascular permeability	1
negative regulation of vasculature development	1
negative regulation of wound healing	1
neural crest cell development	1
neural crest cell differentiation	1
neural nucleus development	1
neural retina development	1
neural tube closure	1
neural tube formation	1
neural tube patterning	1
neuroblast division	1
neuroblast proliferation	1
neuromuscular junction development	1
neuromuscular process controlling balance	1
neuron cellular homeostasis	1
neuron death	1
neuron fate commitment	1
neuron fate specification	1
neuronal stem cell division	1
neuronal stem cell population maintenance	1
neuropeptide signaling pathway	1
neurotransmitter secretion	1
NIK/NF-kappaB signaling	1
nitrogen cycle metabolic process	1
non-canonical Wnt signaling pathway	1
Notch signaling pathway	1
nuclear chromosome segregation	1
nuclear transport	1
nuclear-transcribed mRNA catabolic process	1
nucleobase-containing small molecule catabolic process	1
nucleocytoplasmic transport	1
nucleoside metabolic process	1
nucleoside monophosphate catabolic process	1
nucleosome assembly	1
nucleotide transport	1
nucleotide-sugar biosynthetic process	1
nucleotide-sugar metabolic process	1
nucleus organization	1
oligodendrocyte development	1
oligodendrocyte differentiation	1
opsonization	1
organelle disassembly	1
organelle inheritance	1
organelle transport along microtubule	1
organic cation transport	1
osteoblast differentiation	1
outflow tract morphogenesis	1
outflow tract septum morphogenesis	1
oxidative phosphorylation	1
paraxial mesoderm development	1
paraxial mesoderm morphogenesis	1
parturition	1
peptidyl-arginine methylation	1
peptidyl-arginine modification	1
peptidyl-arginine N-methylation	1
peptidyl-arginine omega-N-methylation	1
peptidyl-glutamic acid carboxylation	1
peptidyl-glutamic acid modification	1
peptidyl-lysine methylation	1
peripheral nervous system development	1
phagocytosis, recognition	1
phosphate ion transport	1
phosphatidylinositol biosynthetic process	1
phosphatidylinositol-3-phosphate biosynthetic process	1
phospholipase C-activating dopamine receptor signaling pathway	1
phospholipase C-activating G-protein coupled receptor signaling pathway	1
phospholipid biosynthetic process	1
phospholipid dephosphorylation	1
phototransduction, visible light	1
pigment cell differentiation	1
pigmentation	1
pinocytosis	1
plasma membrane invagination	1
plasma membrane organization	1
plasma membrane tubulation	1
platelet aggregation	1
platelet-derived growth factor receptor signaling pathway	1
platelet-derived growth factor receptor-beta signaling pathway	1
podosome assembly	1
polyol biosynthetic process	1
porphyrin-containing compound metabolic process	1
positive chemotaxis	1
positive regulation of actin filament bundle assembly	1
positive regulation of alcohol biosynthetic process	1
positive regulation of amine transport	1
positive regulation of astrocyte differentiation	1
positive regulation of B cell activation	1
positive regulation of B cell proliferation	1
positive regulation of branching involved in ureteric bud morphogenesis	1
positive regulation of calcium ion import	1
positive regulation of calcium ion transport	1
positive regulation of cAMP-mediated signaling	1
positive regulation of cardiac muscle cell differentiation	1
positive regulation of cardiocyte differentiation	1
positive regulation of catecholamine secretion	1
positive regulation of cell adhesion	1
positive regulation of cell cycle arrest	1
positive regulation of cell growth	1
positive regulation of cell-cell adhesion	1
positive regulation of cellular amide metabolic process	1
positive regulation of cellular carbohydrate metabolic process	1
positive regulation of cellular protein catabolic process	1
positive regulation of chromatin binding	1
positive regulation of collagen biosynthetic process	1
positive regulation of collagen metabolic process	1
positive regulation of collateral sprouting	1
positive regulation of cyclase activity	1
positive regulation of cyclin-dependent protein serine/threonine kinase activity	1
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	1
positive regulation of cytokine production involved in immune response	1
positive regulation of cytokine secretion	1
positive regulation of cytokinesis	1
positive regulation of defense response	1
positive regulation of dephosphorylation	1
positive regulation of DNA-templated transcription, elongation	1
positive regulation of endocytosis	1
positive regulation of endothelial cell chemotaxis	1
positive regulation of endothelial cell proliferation	1
positive regulation of ERAD pathway	1
positive regulation of fat cell differentiation	1
positive regulation of fibroblast proliferation	1
positive regulation of filopodium assembly	1
positive regulation of gastrulation	1
positive regulation of gluconeogenesis	1
positive regulation of glucose import	1
positive regulation of glucose metabolic process	1
positive regulation of glucose transmembrane transport	1
positive regulation of immune effector process	1
positive regulation of ion transport	1
positive regulation of leukocyte chemotaxis	1
positive regulation of leukocyte migration	1
positive regulation of leukocyte proliferation	1
positive regulation of lipid biosynthetic process	1
positive regulation of long-term synaptic potentiation	1
positive regulation of lymphocyte activation	1
positive regulation of lymphocyte proliferation	1
positive regulation of macroautophagy	1
positive regulation of macrophage activation	1
positive regulation of macrophage chemotaxis	1
positive regulation of macrophage migration	1
positive regulation of membrane permeability	1
positive regulation of membrane protein ectodomain proteolysis	1
positive regulation of mesonephros development	1
positive regulation of metallopeptidase activity	1
positive regulation of metanephros development	1
positive regulation of mitochondrial membrane permeability	1
positive regulation of mitochondrial membrane permeability involved in apoptotic process	1
positive regulation of mitotic cell cycle	1
positive regulation of mitotic nuclear division	1
positive regulation of mononuclear cell proliferation	1
positive regulation of morphogenesis of an epithelium	1
positive regulation of muscle cell differentiation	1
positive regulation of NF-kappaB transcription factor activity	1
positive regulation of NIK/NF-kappaB signaling	1
positive regulation of nuclear division	1
positive regulation of organelle assembly	1
positive regulation of peptide secretion	1
positive regulation of peptidyl-serine phosphorylation	1
positive regulation of peptidyl-tyrosine phosphorylation	1
positive regulation of phosphatase activity	1
positive regulation of phosphatidylinositol 3-kinase signaling	1
positive regulation of phosphoprotein phosphatase activity	1
positive regulation of plasma membrane bounded cell projection assembly	1
positive regulation of podosome assembly	1
positive regulation of production of molecular mediator of immune response	1
positive regulation of proteasomal protein catabolic process	1
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	1
positive regulation of protein binding	1
positive regulation of protein dephosphorylation	1
positive regulation of protein import	1
positive regulation of protein localization to cell periphery	1
positive regulation of protein localization to cell surface	1
positive regulation of protein localization to membrane	1
positive regulation of protein localization to plasma membrane	1
positive regulation of protein polymerization	1
positive regulation of protein secretion	1
positive regulation of protein tyrosine kinase activity	1
positive regulation of proteolysis involved in cellular protein catabolic process	1
positive regulation of Ras protein signal transduction	1
positive regulation of reactive oxygen species metabolic process	1
positive regulation of receptor internalization	1
positive regulation of receptor-mediated endocytosis	1
positive regulation of reproductive process	1
positive regulation of response to biotic stimulus	1
positive regulation of response to endoplasmic reticulum stress	1
positive regulation of Rho protein signal transduction	1
positive regulation of signal transduction by p53 class mediator	1
positive regulation of small GTPase mediated signal transduction	1
positive regulation of smooth muscle cell migration	1
positive regulation of steroid biosynthetic process	1
positive regulation of steroid metabolic process	1
positive regulation of stress fiber assembly	1
positive regulation of striated muscle cell differentiation	1
positive regulation of supramolecular fiber organization	1
positive regulation of synapse assembly	1
positive regulation of telomerase activity	1
positive regulation of translation	1
positive regulation of transmembrane transport	1
positive regulation of ubiquitin-dependent protein catabolic process	1
positive regulation of vascular endothelial cell proliferation	1
positive regulation of vascular permeability	1
positive regulation of vascular smooth muscle cell proliferation	1
post-anal tail morphogenesis	1
potassium ion import	1
pre-miRNA processing	1
presynapse assembly	1
presynapse organization	1
presynaptic process involved in chemical synaptic transmission	1
primary neural tube formation	1
production of miRNAs involved in gene silencing by miRNA	1
production of small RNA involved in gene silencing by RNA	1
protein activation cascade	1
protein ADP-ribosylation	1
protein carboxylation	1
protein deacylation	1
protein folding	1
protein heterooligomerization	1
protein homotetramerization	1
protein import into nucleus	1
protein kinase C-activating G-protein coupled receptor signaling pathway	1
protein lipidation	1
protein localization to cell surface	1
protein localization to chromatin	1
protein localization to chromosome, telomeric region	1
protein localization to cytoskeleton	1
protein localization to endosome	1
protein localization to Golgi apparatus	1
protein localization to microtubule	1
protein localization to microtubule cytoskeleton	1
protein localization to nucleus	1
protein monoubiquitination	1
protein palmitoylation	1
protein stabilization	1
protein tetramerization	1
protein-chromophore linkage	1
protein-DNA complex assembly	1
protoporphyrinogen IX metabolic process	1
pteridine-containing compound metabolic process	1
purine nucleoside metabolic process	1
purine nucleotide transport	1
purine ribonucleoside metabolic process	1
purine ribonucleotide transport	1
quaternary ammonium group transport	1
reactive oxygen species biosynthetic process	1
receptor guanylyl cyclase signaling pathway	1
regulation of actin filament bundle assembly	1
regulation of actin filament organization	1
regulation of actomyosin structure organization	1
regulation of adaptive immune response	1
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	1
regulation of adenylate cyclase-activating G-protein coupled receptor signaling pathway	1
regulation of alcohol biosynthetic process	1
regulation of amine transport	1
regulation of astrocyte differentiation	1
regulation of autophagosome assembly	1
regulation of autophagy of mitochondrion	1
regulation of blood pressure	1
regulation of bone development	1
regulation of calcium ion import	1
regulation of cAMP-mediated signaling	1
regulation of carbohydrate biosynthetic process	1
regulation of cardiac conduction	1
regulation of cardiac muscle cell differentiation	1
regulation of cardiocyte differentiation	1
regulation of catecholamine secretion	1
regulation of cation transmembrane transport	1
regulation of cell chemotaxis to fibroblast growth factor	1
regulation of cell cycle arrest	1
regulation of cell cycle G1/S phase transition	1
regulation of cell cycle phase transition	1
regulation of cell maturation	1
regulation of cell projection assembly	1
regulation of cell-cell adhesion	1
regulation of cell-cell adhesion mediated by cadherin	1
regulation of cellular carbohydrate metabolic process	1
regulation of cellular pH	1
regulation of cellular protein catabolic process	1
regulation of cellular response to growth factor stimulus	1
regulation of cellular response to insulin stimulus	1
regulation of centriole replication	1
regulation of centrosome cycle	1
regulation of centrosome duplication	1
regulation of ceramide biosynthetic process	1
regulation of cholesterol biosynthetic process	1
regulation of cholesterol metabolic process	1
regulation of chondrocyte differentiation	1
regulation of chromatin binding	1
regulation of clathrin-dependent endocytosis	1
regulation of collagen biosynthetic process	1
regulation of collagen metabolic process	1
regulation of collateral sprouting	1
regulation of cyclase activity	1
regulation of cyclin-dependent protein serine/threonine kinase activity	1
regulation of cysteine-type endopeptidase activity involved in apoptotic process	1
regulation of cytokine biosynthetic process	1
regulation of cytokine production involved in immune response	1
regulation of cytokine secretion	1
regulation of cytokine secretion involved in immune response	1
regulation of cytokinesis	1
regulation of cytoplasmic transport	1
regulation of dephosphorylation	1
regulation of developmental pigmentation	1
regulation of DNA-templated transcription, elongation	1
regulation of dopaminergic neuron differentiation	1
regulation of early endosome to late endosome transport	1
regulation of endothelial cell chemotaxis	1
regulation of endothelial cell chemotaxis to fibroblast growth factor	1
regulation of endothelial cell proliferation	1
regulation of epithelial to mesenchymal transition	1
regulation of ERAD pathway	1
regulation of fibroblast migration	1
regulation of fibroblast proliferation	1
regulation of filopodium assembly	1
regulation of G0 to G1 transition	1
regulation of G1/S transition of mitotic cell cycle	1
regulation of gastrulation	1
regulation of gene silencing	1
regulation of gene silencing by miRNA	1
regulation of gene silencing by RNA	1
regulation of gluconeogenesis	1
regulation of glucose import in response to insulin stimulus	1
regulation of glucose metabolic process	1
regulation of Golgi organization	1
