Biological Process	Number of genes
regulation of morphogenesis of a branching structure	5
mitochondrial outer membrane permeabilization	5
phototransduction	5
detection of visible light	5
regulation of phospholipase activity	5
response to activity	5
branching involved in ureteric bud morphogenesis	5
heart looping	5
positive regulation of mitochondrial membrane permeability involved in apoptotic process	5
cellular response to amino acid stimulus	5
mitochondrial outer membrane permeabilization involved in programmed cell death	5
ureteric bud morphogenesis	5
determination of heart left/right asymmetry	5
positive regulation of DNA biosynthetic process	5
positive regulation of mitochondrial membrane permeability	5
mesonephric tubule morphogenesis	5
organic hydroxy compound catabolic process	5
somitogenesis	5
L-amino acid transport	5
cholesterol biosynthetic process	5
positive regulation of membrane permeability	5
astrocyte differentiation	5
secondary alcohol biosynthetic process	5
vesicle docking	5
demethylation	5
cAMP biosynthetic process	5
detection of light stimulus	5
microtubule polymerization	5
artery morphogenesis	5
nephron tubule morphogenesis	5
mesoderm formation	5
sterol biosynthetic process	5
nephron epithelium morphogenesis	5
pancreas development	5
negative regulation of ion transmembrane transporter activity	5
renal tubule morphogenesis	5
regulation of cyclic nucleotide biosynthetic process	5
exocytic process	5
adult locomotory behavior	5
glucose import	5
mononuclear cell migration	5
negative regulation of viral life cycle	5
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	5
regulation of cytokinesis	5
regulation of steroid biosynthetic process	5
chemokine-mediated signaling pathway	5
positive regulation of histone modification	5
positive regulation of striated muscle tissue development	5
positive regulation of muscle organ development	5
regulation of lipase activity	5
positive regulation of muscle tissue development	5
negative regulation of transporter activity	5
regulation of JUN kinase activity	5
regulation of epithelial to mesenchymal transition	5
negative regulation of cation transmembrane transport	5
neutrophil chemotaxis	5
negative regulation of cell morphogenesis involved in differentiation	5
axis specification	5
DNA methylation or demethylation	5
artery development	5
positive regulation of chromatin organization	5
regulation of striated muscle contraction	5
defense response to Gram-positive bacterium	5
nephron tubule development	5
autophagosome assembly	5
embryonic skeletal system morphogenesis	5
regulation of cyclin-dependent protein kinase activity	5
mitochondrial transmembrane transport	5
dorsal/ventral pattern formation	5
renal tubule development	5
regulation of protein localization to cell periphery	5
phenol-containing compound metabolic process	5
sensory perception of pain	5
negative regulation of viral process	5
response to leukemia inhibitory factor	5
cellular response to leukemia inhibitory factor	5
positive regulation of ubiquitin-dependent protein catabolic process	5
maintenance of location in cell	5
autophagosome organization	5
regulation of heart rate	5
response to cAMP	5
triglyceride metabolic process	5
ammonium transport	5
regulation of circadian rhythm	5
pigmentation	5
glycolytic process	5
neutrophil migration	5
ATP generation from ADP	5
regulation of DNA biosynthetic process	5
leukocyte apoptotic process	5
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	5
ribonucleoside metabolic process	5
unsaturated fatty acid metabolic process	5
negative regulation of extrinsic apoptotic signaling pathway	5
response to retinoic acid	5
positive regulation of autophagy	5
ADP metabolic process	5
antimicrobial humoral response	5
DNA modification	5
cellular component assembly involved in morphogenesis	5
response to amino acid	5
nephron epithelium development	5
memory	5
hematopoietic stem cell differentiation	5
regulation of tumor necrosis factor production	5
mucopolysaccharide metabolic process	5
acylglycerol metabolic process	5
fibroblast growth factor receptor signaling pathway	5
nucleoside diphosphate phosphorylation	5
neutral lipid metabolic process	5
tumor necrosis factor production	5
positive regulation of protein localization to membrane	5
localization within membrane	5
regulation of tumor necrosis factor superfamily cytokine production	5
regulation of proteasomal ubiquitin-dependent protein catabolic process	5
detoxification	5
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5
positive regulation of translation	5
synaptic vesicle transport	5
establishment of synaptic vesicle localization	5
cardiac ventricle development	5
purine nucleoside diphosphate metabolic process	5
purine ribonucleoside diphosphate metabolic process	5
cellular response to light stimulus	5
regulation of regulated secretory pathway	5
ribonucleoside diphosphate metabolic process	5
nucleotide phosphorylation	5
embryonic skeletal system development	5
tumor necrosis factor superfamily cytokine production	5
positive regulation of lipid metabolic process	5
formation of primary germ layer	5
nucleoside metabolic process	5
smoothened signaling pathway	5
synaptic vesicle localization	5
isoprenoid metabolic process	5
embryonic limb morphogenesis	5
embryonic appendage morphogenesis	5
regulation of adaptive immune response	5
response to organophosphorus	5
regulation of peptidyl-serine phosphorylation	5
positive regulation of lymphocyte proliferation	5
cardiac muscle contraction	5
positive regulation of mononuclear cell proliferation	5
signal transduction in response to DNA damage	5
cholesterol metabolic process	5
response to UV	5
positive regulation of ion transmembrane transport	5
morphogenesis of a polarized epithelium	5
negative regulation of neuron projection development	5
myeloid cell homeostasis	5
vesicle-mediated transport in synapse	5
positive regulation of leukocyte proliferation	5
cell killing	5
regulation of G-protein coupled receptor protein signaling pathway	5
positive regulation of NF-kappaB transcription factor activity	5
secondary alcohol metabolic process	5
adult behavior	5
nucleoside diphosphate metabolic process	5
regulation of ubiquitin-dependent protein catabolic process	5
regulation of calcium ion transmembrane transport	5
phosphatidylinositol biosynthetic process	5
hindbrain development	5
smooth muscle cell proliferation	5
glycosyl compound metabolic process	5
response to ionizing radiation	5
sterol metabolic process	5
negative regulation of leukocyte activation	5
positive regulation of epithelial cell migration	5
mitochondrial gene expression	5
positive regulation of protein kinase B signaling	5
monocarboxylic acid transport	5
regulation of B cell activation	5
protein lipidation	5
negative regulation of cell-cell adhesion	5
regulation of cation channel activity	5
positive regulation of cell growth	5
regulation of mRNA stability	5
male sex differentiation	5
lipoprotein biosynthetic process	5
regulation of cellular ketone metabolic process	5
negative regulation of cell projection organization	5
positive regulation of I-kappaB kinase/NF-kappaB signaling	5
negative regulation of protein transport	5
regulation of RNA stability	5
regulation of JNK cascade	5
positive regulation of endopeptidase activity	5
negative regulation of establishment of protein localization	5
striated muscle contraction	5
regulation of reactive oxygen species metabolic process	5
positive regulation of peptidyl-tyrosine phosphorylation	5
cellular response to inorganic substance	5
regulation of response to DNA damage stimulus	5
cell recognition	5
negative regulation of defense response	5
negative regulation of neuron death	5
glucose metabolic process	5
response to alcohol	5
positive regulation of supramolecular fiber organization	5
lipoprotein metabolic process	5
JNK cascade	5
Rho protein signal transduction	5
nuclear export	5
nuclear-transcribed mRNA catabolic process	5
ribonucleoprotein complex assembly	5
acute inflammatory response	5
regulation of cell cycle G2/M phase transition	5
regulation of protein kinase B signaling	5
response to carbohydrate	5
alpha-amino acid metabolic process	5
regulation of I-kappaB kinase/NF-kappaB signaling	5
ribonucleoprotein complex subunit organization	5
defense response to virus	5
regulation of peptidyl-tyrosine phosphorylation	5
glycerophospholipid biosynthetic process	5
meiotic cell cycle	5
I-kappaB kinase/NF-kappaB signaling	5
negative regulation of cell cycle phase transition	5
cell cycle G2/M phase transition	5
regulation of epithelial cell migration	5
organic acid catabolic process	5
carboxylic acid catabolic process	5
regulation of cellular response to growth factor stimulus	5
negative regulation of mitotic cell cycle	5
termination of RNA polymerase II transcription	5
mRNA 3'-end processing	5
RNA 3'-end processing	5
Rab protein signal transduction	5
cytidine to uridine editing	4
semaphorin-plexin signaling pathway involved in axon guidance	4
quaternary ammonium group transport	4
spinal cord motor neuron cell fate specification	4
maintenance of protein localization in endoplasmic reticulum	4
semaphorin-plexin signaling pathway involved in neuron projection guidance	4
Golgi inheritance	4
organelle inheritance	4
regulation of Golgi organization	4
base conversion or substitution editing	4
cell proliferation involved in heart morphogenesis	4
positive regulation of telomere capping	4
regulation of cell proliferation involved in heart morphogenesis	4
regulation of early endosome to late endosome transport	4
regulation of transposition	4
negative regulation of transposition	4
regulation of cytoplasmic transport	4
intermediate filament organization	4
beta-catenin destruction complex disassembly	4
dendritic cell chemotaxis	4
negative regulation of steroid biosynthetic process	4
phospholipid translocation	4
regulation of branching involved in ureteric bud morphogenesis	4
transposition	4
lipid translocation	4
acetylcholine receptor signaling pathway	4
signal transduction involved in cellular response to ammonium ion	4
response to acetylcholine	4
cellular response to acetylcholine	4
thyroid gland development	4
microtubule nucleation	4
regulation of mesonephros development	4
regulation of telomere capping	4
dendritic cell migration	4
N-terminal protein amino acid modification	4
regulation of TORC1 signaling	4
positive regulation of neutrophil chemotaxis	4
negative regulation of signal transduction by p53 class mediator	4
very long-chain fatty acid metabolic process	4
regulation of fibroblast migration	4
semaphorin-plexin signaling pathway	4
purine ribonucleotide catabolic process	4
positive regulation of phospholipase C activity	4
tRNA methylation	4
positive regulation of neutrophil migration	4
ribonucleotide catabolic process	4
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	4
positive regulation of telomere maintenance via telomerase	4
cellular response to monoamine stimulus	4
cellular response to catecholamine stimulus	4
aorta morphogenesis	4
embryonic digestive tract development	4
regulation of neutrophil chemotaxis	4
release of sequestered calcium ion into cytosol by endoplasmic reticulum	4
positive regulation of TOR signaling	4
TORC1 signaling	4
actin filament capping	4
positive regulation of telomere maintenance via telomere lengthening	4
histone phosphorylation	4
protein localization to lysosome	4
response to monoamine	4
response to catecholamine	4
Wnt signaling pathway, calcium modulating pathway	4
anterograde axonal transport	4
modulation by virus of host morphology or physiology	4
early endosome to late endosome transport	4
sarcoplasmic reticulum calcium ion transport	4
regulation of neutrophil migration	4
chromatin silencing at rDNA	4
negative regulation of actin filament depolymerization	4
regulation of membrane lipid distribution	4
amino sugar metabolic process	4
positive regulation of kidney development	4
detection of chemical stimulus involved in sensory perception of bitter taste	4
vesicle transport along microtubule	4
metanephric nephron development	4
maintenance of protein localization in organelle	4
vesicle-mediated transport between endosomal compartments	4
potassium ion import	4
fibroblast migration	4
organic cation transport	4
positive regulation of cyclic nucleotide biosynthetic process	4
regulation of cAMP-mediated signaling	4
substantia nigra development	4
protein localization to microtubule cytoskeleton	4
negative regulation of peptide hormone secretion	4
positive regulation of phospholipid metabolic process	4
response to epidermal growth factor	4
negative regulation of leukocyte mediated immunity	4
ARF protein signal transduction	4
regulation of ARF protein signal transduction	4
positive regulation of interleukin-8 production	4
hydrogen peroxide metabolic process	4
thymus development	4
detection of chemical stimulus involved in sensory perception of taste	4
sensory perception of bitter taste	4
establishment of protein localization to vacuole	4
dopamine receptor signaling pathway	4
modification by symbiont of host morphology or physiology	4
negative regulation of G-protein coupled receptor protein signaling pathway	4
axonal transport	4
cellular carbohydrate catabolic process	4
negative regulation of fat cell differentiation	4
mesenchymal cell proliferation	4
positive regulation of epithelial to mesenchymal transition	4
positive regulation of pathway-restricted SMAD protein phosphorylation	4
antibiotic catabolic process	4
cranial nerve development	4
positive regulation of Notch signaling pathway	4
alcohol catabolic process	4
face development	4
positive regulation of phospholipase activity	4
regulation of actin filament depolymerization	4
protein localization to cytoskeleton	4
vesicle cytoskeletal trafficking	4
negative regulation of mitochondrion organization	4
regulation of organic acid transport	4
exocrine system development	4
digestive tract morphogenesis	4
anion homeostasis	4
endochondral bone morphogenesis	4
replacement bone morphogenesis	4
anterior/posterior axis specification	4
zymogen activation	4
protein K48-linked ubiquitination	4
actin filament depolymerization	4
aorta development	4
regulation of neuronal synaptic plasticity	4
arachidonic acid metabolic process	4
regulation of telomere maintenance via telomerase	4
cGMP metabolic process	4
ventricular cardiac muscle tissue development	4
axo-dendritic transport	4
telomere capping	4
positive regulation of cyclic nucleotide metabolic process	4
negative regulation of viral genome replication	4
platelet aggregation	4
cell communication involved in cardiac conduction	4
regulation of immunoglobulin production	4
regulation of cAMP biosynthetic process	4
negative regulation of actin filament polymerization	4
cofactor catabolic process	4
intracellular estrogen receptor signaling pathway	4
positive regulation of cardiac muscle tissue development	4
protein localization to vacuole	4
peptide cross-linking	4
negative regulation of intracellular transport	4
antimicrobial humoral immune response mediated by antimicrobial peptide	4
neural retina development	4
apical junction assembly	4
regulation of pathway-restricted SMAD protein phosphorylation	4
positive regulation of macroautophagy	4
positive regulation of lipase activity	4
regulation of stem cell proliferation	4
regulation of interleukin-8 production	4
histone H4 acetylation	4
negative regulation of hormone secretion	4
neural nucleus development	4
excretion	4
forebrain generation of neurons	4
pathway-restricted SMAD protein phosphorylation	4
embryonic digit morphogenesis	4
regulation of cartilage development	4
positive regulation of calcium ion transmembrane transport	4
phospholipid transport	4
sensory perception of taste	4
smooth muscle cell differentiation	4
SMAD protein signal transduction	4
positive regulation of tumor necrosis factor production	4
inositol phosphate metabolic process	4
telomere maintenance via telomerase	4
central nervous system neuron development	4
myofibril assembly	4
negative regulation of protein polymerization	4
negative regulation of mononuclear cell proliferation	4
skeletal muscle cell differentiation	4
pigment metabolic process	4
negative regulation of lymphocyte proliferation	4
regulation of synaptic transmission, glutamatergic	4
cardiac septum morphogenesis	4
positive regulation of dendrite development	4
negative regulation of response to DNA damage stimulus	4
RNA methylation	4
interleukin-8 production	4
positive regulation of JUN kinase activity	4
mammary gland epithelium development	4
lymphocyte apoptotic process	4
positive regulation of tumor necrosis factor superfamily cytokine production	4
regulation of microtubule polymerization or depolymerization	4
modification by host of symbiont morphology or physiology	4
cardiac ventricle morphogenesis	4
transcription-coupled nucleotide-excision repair	4
negative regulation of leukocyte proliferation	4
positive regulation of production of molecular mediator of immune response	4
homotypic cell-cell adhesion	4
regulation of phospholipid metabolic process	4
RNA-dependent DNA biosynthetic process	4
maintenance of protein location in cell	4
regulation of intracellular steroid hormone receptor signaling pathway	4
interaction with symbiont	4
regulation of cell migration involved in sprouting angiogenesis	4
diencephalon development	4
cardiac muscle cell development	4
gluconeogenesis	4
tRNA modification	4
peripheral nervous system development	4
striated muscle cell proliferation	4
nerve development	4
T cell costimulation	4
regulation of release of sequestered calcium ion into cytosol	4
regulation of neural precursor cell proliferation	4
regulation of cAMP metabolic process	4
lymphocyte costimulation	4
regulation of receptor-mediated endocytosis	4
regulation of cardiac muscle contraction	4
regulation of response to endoplasmic reticulum stress	4
ATP-dependent chromatin remodeling	4
hexose biosynthetic process	4
oogenesis	4
response to fatty acid	4
regulation of cell junction assembly	4
myoblast differentiation	4
cardiac cell development	4
regulation of anion transport	4
regulation of dendrite morphogenesis	4
pyrimidine-containing compound metabolic process	4
amine transport	4
cytokine production involved in immune response	4
regulation of fatty acid metabolic process	4
DNA geometric change	4
cell migration involved in sprouting angiogenesis	4
monosaccharide biosynthetic process	4
cellular response to ketone	4
regulation of protein localization to plasma membrane	4
neural tube closure	4
dicarboxylic acid transport	4
regulation of fibroblast proliferation	4
regulation of cyclin-dependent protein serine/threonine kinase activity	4
positive regulation of ion transmembrane transporter activity	4
fibroblast proliferation	4
regulation of synapse assembly	4
tube closure	4
fatty acid transport	4
regulation of calcium ion transmembrane transporter activity	4
leukocyte mediated cytotoxicity	4
energy reserve metabolic process	4
dendritic spine development	4
water-soluble vitamin metabolic process	4
post-embryonic development	4
regulation of interferon-gamma production	4
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	4
regulation of cardiac muscle tissue development	4
body fluid secretion	4
primary neural tube formation	4
digestive system process	4
regulation of Notch signaling pathway	4
ciliary basal body-plasma membrane docking	4
chondrocyte differentiation	4
regulation of calcium ion transport into cytosol	4
diterpenoid metabolic process	4
cellular oxidant detoxification	4
positive regulation of transporter activity	4
neuromuscular process	4
cardiac septum development	4
lysosomal transport	4
positive regulation of peptidyl-serine phosphorylation	4
interleukin-1-mediated signaling pathway	4
sphingolipid biosynthetic process	4
membrane depolarization	4
cellular detoxification	4
neural tube formation	4
interferon-gamma production	4
acyl-CoA metabolic process	4
intrinsic apoptotic signaling pathway in response to DNA damage	4
metencephalon development	4
thioester metabolic process	4
regulation of hematopoietic stem cell differentiation	4
negative regulation of immune effector process	4
maintenance of protein location	4
regulation of organ growth	4
erythrocyte differentiation	4
transcription elongation from RNA polymerase II promoter	4
protein deacylation	4
excitatory postsynaptic potential	4
terpenoid metabolic process	4
macromolecule deacylation	4
icosanoid metabolic process	4
DNA damage response, signal transduction by p53 class mediator	4
negative regulation of cysteine-type endopeptidase activity	4
regulation of hematopoietic progenitor cell differentiation	4
phospholipase C-activating G-protein coupled receptor signaling pathway	4
cell-cell junction assembly	4
positive regulation of endothelial cell migration	4
nucleotide-excision repair	4
erythrocyte homeostasis	4
acid secretion	4
regulation of DNA binding	4
regulation of transcription from RNA polymerase II promoter in response to stress	4
protein O-linked glycosylation	4
establishment of planar polarity	4
establishment of tissue polarity	4
collagen metabolic process	4
positive regulation of JNK cascade	4
positive regulation of cation transmembrane transport	4
regulation of DNA-templated transcription in response to stress	4
innate immune response activating cell surface receptor signaling pathway	4
negative regulation of peptide secretion	4
regulation of protein targeting	4
platelet degranulation	4
regulation of sprouting angiogenesis	4
positive regulation of protein polymerization	4
vacuolar transport	4
negative regulation of lymphocyte activation	4
DNA-templated transcription, elongation	4
regulation of Rho protein signal transduction	4
male gonad development	4
development of primary male sexual characteristics	4
regulation of blood vessel size	4
regulation of tube size	4
negative regulation of immune response	4
cellular response to antibiotic	4
multicellular organism growth	4
regulation of smooth muscle cell proliferation	4
positive regulation of cysteine-type endopeptidase activity	4
immunoglobulin production	4
proton transmembrane transport	4
regulation of T cell proliferation	4
regulation of blood vessel endothelial cell migration	4
positive regulation of stress-activated MAPK cascade	4
protein tetramerization	4
mitotic sister chromatid segregation	4
positive regulation of stress-activated protein kinase signaling cascade	4
negative regulation of cellular response to growth factor stimulus	4
cellular response to metal ion	4
homophilic cell adhesion via plasma membrane adhesion molecules	4
negative regulation of epithelial cell proliferation	4
complement activation	4
sensory perception of mechanical stimulus	4
regulation of response to wounding	4
regulation of actin filament polymerization	4
pallium development	4
sphingolipid metabolic process	4
vesicle fusion	4
regulation of muscle cell differentiation	4
regulation of protein processing	4
sprouting angiogenesis	4
blood vessel endothelial cell migration	4
regulation of protein maturation	4
positive regulation of hemopoiesis	4
organelle membrane fusion	4
T cell proliferation	4
endothelial cell proliferation	4
actin filament polymerization	4
protein methylation	4
protein alkylation	4
protein export from nucleus	4
regulation of actin polymerization or depolymerization	4
protein targeting to membrane	4
regulation of actin filament length	4
protein activation cascade	4
sulfur compound biosynthetic process	4
response to glucose	4
meiotic cell cycle process	4
regulation of cell-substrate adhesion	4
positive regulation of epithelial cell proliferation	4
response to hexose	4
organelle fusion	4
immunoglobulin mediated immune response	4
regulation of G2/M transition of mitotic cell cycle	4
B cell mediated immunity	4
response to monosaccharide	4
actin polymerization or depolymerization	4
establishment or maintenance of cell polarity	4
visual perception	4
cellular lipid catabolic process	4
cell-matrix adhesion	4
sensory perception of light stimulus	4
regulation of endothelial cell migration	4
organic hydroxy compound transport	4
negative regulation of mitotic cell cycle phase transition	4
sister chromatid segregation	4
negative regulation of cytokine production	4
endothelial cell migration	4
G2/M transition of mitotic cell cycle	4
membrane fusion	4
regulation of leukocyte differentiation	4
protein dephosphorylation	4
nuclear chromosome segregation	4
regulation of cofactor metabolic process	4
actin filament-based movement	4
lymphocyte activation involved in immune response	4
negative regulation of telomere maintenance via telomere lengthening	4
negative regulation of telomere maintenance	4
non-recombinational repair	4
cardioblast proliferation	3
protein retention in ER lumen	3
facial nerve development	3
facial nerve morphogenesis	3
fatty acid derivative catabolic process	3
heart field specification	3
regulation of cardioblast proliferation	3
positive regulation of gluconeogenesis	3
positive regulation of cytolysis	3
myoblast migration	3
limb bud formation	3
trachea morphogenesis	3
trigeminal nerve development	3
behavioral response to pain	3
detection of calcium ion	3
protein localization to microtubule	3
maternal behavior	3
DNA deamination	3
ureter development	3
parental behavior	3
cardiac cell fate commitment	3
response to dopamine	3
cellular response to dopamine	3
positive regulation of cell fate commitment	3
ectodermal placode formation	3
ectodermal placode morphogenesis	3
mRNA cleavage involved in mRNA processing	3
N-terminal protein amino acid acetylation	3
preganglionic parasympathetic fiber development	3
regulation of cytolysis	3
positive regulation of sequestering of calcium ion	3
ectodermal placode development	3
regulation of inclusion body assembly	3
neuron projection arborization	3
G-protein coupled acetylcholine receptor signaling pathway	3
establishment of planar polarity of embryonic epithelium	3
negative regulation of cAMP-mediated signaling	3
anterograde synaptic vesicle transport	3
positive regulation of transforming growth factor beta production	3
synaptic vesicle cytoskeletal transport	3
synaptic vesicle transport along microtubule	3
RNA splicing, via endonucleolytic cleavage and ligation	3
positive regulation of transcription of Notch receptor target	3
cardioblast differentiation	3
response to caffeine	3
positive regulation of phosphoprotein phosphatase activity	3
protein localization to endosome	3
response to diuretic	3
positive regulation of glycolytic process	3
parasympathetic nervous system development	3
barbed-end actin filament capping	3
craniofacial suture morphogenesis	3
regulation of epithelial tube formation	3
organ induction	3
muscle cell fate commitment	3
embryonic digestive tract morphogenesis	3
positive regulation of coenzyme metabolic process	3
kidney mesenchyme development	3
positive regulation of branching involved in ureteric bud morphogenesis	3
polyol catabolic process	3
negative regulation of axon extension involved in axon guidance	3
nucleotide transport	3
epoxygenase P450 pathway	3
positive regulation of nucleotide catabolic process	3
positive regulation of gene silencing by miRNA	3
regulation of macrophage chemotaxis	3
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	3
positive regulation of cofactor metabolic process	3
positive regulation of posttranscriptional gene silencing	3
positive regulation of mesonephros development	3
inclusion body assembly	3
negative regulation of axon guidance	3
nucleotide-sugar biosynthetic process	3
melanocyte differentiation	3
positive regulation of cAMP biosynthetic process	3
hydrogen peroxide catabolic process	3
cell communication by electrical coupling involved in cardiac conduction	3
regulation of fatty acid transport	3
response to prostaglandin E	3
centrosome localization	3
cochlea morphogenesis	3
negative regulation of fatty acid metabolic process	3
pharyngeal system development	3
cartilage development involved in endochondral bone morphogenesis	3
modulation by virus of host process	3
ionotropic glutamate receptor signaling pathway	3
embryonic camera-type eye morphogenesis	3
microtubule organizing center localization	3
metanephric nephron morphogenesis	3
regulation of macrophage migration	3
positive regulation of ATP biosynthetic process	3
substrate-dependent cell migration	3
regulation of cardiac muscle contraction by calcium ion signaling	3
cell proliferation in forebrain	3
positive regulation of mesenchymal cell proliferation	3
cell communication by electrical coupling	3
cranial nerve morphogenesis	3
forebrain neuron development	3
secondary metabolite biosynthetic process	3
response to pain	3
cell surface receptor signaling pathway involved in heart development	3
regulation of transforming growth factor beta production	3
positive regulation of peptidyl-threonine phosphorylation	3
reproductive behavior	3
positive regulation of synaptic transmission, glutamatergic	3
epithelial tube branching involved in lung morphogenesis	3
transforming growth factor beta production	3
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	3
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	3
positive regulation of phosphatidylinositol 3-kinase activity	3
modulation by symbiont of host cellular process	3
positive regulation of erythrocyte differentiation	3
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
negative regulation of protein localization to membrane	3
axis elongation	3
protein ADP-ribosylation	3
positive regulation of phosphatase activity	3
response to prostaglandin	3
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3
positive regulation of ATP metabolic process	3
metanephros morphogenesis	3
positive regulation of glucose metabolic process	3
regulation of vascular permeability	3
pigment cell differentiation	3
positive regulation of lipid kinase activity	3
positive regulation of calcium ion transmembrane transporter activity	3
positive regulation of morphogenesis of an epithelium	3
regulation of gluconeogenesis	3
intra-Golgi vesicle-mediated transport	3
positive regulation of cAMP metabolic process	3
macrophage chemotaxis	3
positive regulation of dendrite morphogenesis	3
negative regulation of signal transduction in absence of ligand	3
positive regulation of protein import	3
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	3
negative regulation of lymphocyte mediated immunity	3
renal water homeostasis	3
negative regulation of axon extension	3
embryonic eye morphogenesis	3
mesodermal cell differentiation	3
'de novo' posttranslational protein folding	3
protein insertion into mitochondrial membrane	3
positive regulation of cytokine production involved in immune response	3
phototransduction, visible light	3
regulation of cell fate commitment	3
regulation of mesenchymal cell proliferation	3
positive regulation of telomerase activity	3
positive regulation of cardiac muscle cell proliferation	3
regulation of mitotic spindle organization	3
lung epithelium development	3
autophagosome maturation	3
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3
nucleotide-sugar metabolic process	3
positive regulation of cytokinesis	3
sodium-independent organic anion transport	3
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	3
positive regulation of response to endoplasmic reticulum stress	3
embryonic camera-type eye development	3
positive regulation of protein dephosphorylation	3
positive regulation of embryonic development	3
negative regulation of insulin secretion	3
positive regulation of release of sequestered calcium ion into cytosol	3
regulation of mononuclear cell migration	3
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	3
regulation of intracellular estrogen receptor signaling pathway	3
regulation of spindle organization	3
negative regulation of calcium ion transmembrane transporter activity	3
cell fate determination	3
regulation of cell adhesion mediated by integrin	3
regulation of fatty acid biosynthetic process	3
regulation of digestive system process	3
positive regulation of cyclin-dependent protein kinase activity	3
macrophage migration	3
cGMP biosynthetic process	3
regulation of peptidyl-threonine phosphorylation	3
positive regulation of viral transcription	3
positive regulation of dendritic spine development	3
mitochondrial RNA metabolic process	3
response to electrical stimulus	3
eye photoreceptor cell differentiation	3
pituitary gland development	3
apoptotic cell clearance	3
negative regulation of calcium ion transmembrane transport	3
bicarbonate transport	3
establishment or maintenance of epithelial cell apical/basal polarity	3
oocyte development	3
beta-catenin-TCF complex assembly	3
response to progesterone	3
regulation of phosphatidylinositol 3-kinase activity	3
regulation of erythrocyte differentiation	3
developmental pigmentation	3
positive regulation of cardiac muscle tissue growth	3
response to bronchodilator	3
regulation of B cell mediated immunity	3
regulation of immunoglobulin mediated immune response	3
RNA secondary structure unwinding	3
response to exogenous dsRNA	3
regulation of telomerase activity	3
positive regulation of protein tyrosine kinase activity	3
cochlea development	3
positive regulation of neural precursor cell proliferation	3
regulation of extrinsic apoptotic signaling pathway in absence of ligand	3
neural crest cell migration	3
regulation of chondrocyte differentiation	3
nucleobase-containing small molecule catabolic process	3
establishment or maintenance of apical/basal cell polarity	3
establishment or maintenance of bipolar cell polarity	3
negative regulation of chromatin organization	3
immunoglobulin production involved in immunoglobulin mediated immune response	3
neuromuscular junction development	3
ventricular cardiac muscle tissue morphogenesis	3
oocyte differentiation	3
body morphogenesis	3
positive regulation of heart growth	3
membrane depolarization during action potential	3
regulation of interleukin-12 production	3
sodium ion homeostasis	3
positive regulation of dephosphorylation	3
negative regulation of cation channel activity	3
positive regulation of calcium ion transport into cytosol	3
positive regulation of cellular carbohydrate metabolic process	3
interleukin-12 production	3
regulation of skeletal muscle tissue development	3
'de novo' protein folding	3
catecholamine metabolic process	3
catechol-containing compound metabolic process	3
forebrain neuron differentiation	3
maturation of SSU-rRNA	3
positive regulation of ATPase activity	3
regulation of lipid kinase activity	3
neuroblast proliferation	3
protein localization to cell surface	3
cellular response to vascular endothelial growth factor stimulus	3
regulation of cardiac muscle cell proliferation	3
regulation of protein import	3
negative regulation of T cell proliferation	3
positive regulation of DNA binding	3
negative regulation of reproductive process	3
cell adhesion mediated by integrin	3
positive regulation of nucleocytoplasmic transport	3
positive regulation of gliogenesis	3
cellular response to alcohol	3
positive regulation of viral life cycle	3
tetrapyrrole metabolic process	3
polyol biosynthetic process	3
photoreceptor cell differentiation	3
regulation of leukocyte mediated cytotoxicity	3
natural killer cell mediated cytotoxicity	3
ATP hydrolysis coupled cation transmembrane transport	3
cytoplasmic pattern recognition receptor signaling pathway	3
acidic amino acid transport	3
histone H3 acetylation	3
regulation of tumor necrosis factor-mediated signaling pathway	3
regulation of B cell proliferation	3
positive regulation of organ growth	3
positive regulation of interferon-gamma production	3
negative regulation of axonogenesis	3
natural killer cell mediated immunity	3
regulation of viral transcription	3
multicellular organismal water homeostasis	3
catecholamine transport	3
cardiac muscle cell proliferation	3
negative regulation of protein ubiquitination	3
negative regulation of calcium ion transport	3
positive regulation of mRNA metabolic process	3
regulation of cytokine production involved in immune response	3
protein monoubiquitination	3
regulation of glucose import	3
mitotic cytokinesis	3
regulation of glycolytic process	3
androgen receptor signaling pathway	3
positive regulation of synapse assembly	3
mitotic spindle assembly	3
glycolipid biosynthetic process	3
water homeostasis	3
collagen catabolic process	3
multicellular organismal response to stress	3
cardiac muscle tissue morphogenesis	3
