Biological Process	n
negative regulation of actin filament depolymerization	2
negative regulation of actin filament polymerization	2
negative regulation of axon extension	2
negative regulation of axon extension involved in axon guidance	2
negative regulation of axon guidance	2
negative regulation of axonogenesis	2
negative regulation of cell cycle G1/S phase transition	2
negative regulation of cell fate commitment	2
negative regulation of cell morphogenesis involved in differentiation	2
negative regulation of chemotaxis	2
negative regulation of developmental growth	2
negative regulation of endocytosis	2
negative regulation of G1/S transition of mitotic cell cycle	2
negative regulation of immune system process	2
negative regulation of intrinsic apoptotic signaling pathway	2
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	2
negative regulation of mRNA catabolic process	2
negative regulation of multi-organism process	2
negative regulation of protein complex assembly	2
negative regulation of protein complex disassembly	2
negative regulation of protein depolymerization	2
negative regulation of protein polymerization	2
negative regulation of reproductive process	2
negative regulation of response to DNA damage stimulus	2
negative regulation of response to wounding	2
negative regulation of RNA catabolic process	2
negative regulation of supramolecular fiber organization	2
negative regulation of transmembrane transport	2
negative regulation of wound healing	2
neural crest cell development	2
neural crest cell differentiation	2
neural nucleus development	2
neural tube patterning	2
neuromuscular process	2
neuron fate commitment	2
neuron fate specification	2
neuron maturation	2
neuron migration	2
neuron projection organization	2
neuron remodeling	2
neurotransmitter transport	2
nicotinamide nucleotide biosynthetic process	2
nicotinamide nucleotide metabolic process	2
nitrogen cycle metabolic process	2
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
nucleoside diphosphate metabolic process	2
nucleoside diphosphate phosphorylation	2
nucleoside metabolic process	2
nucleoside monophosphate biosynthetic process	2
nucleoside triphosphate biosynthetic process	2
nucleotide phosphorylation	2
oocyte development	2
oocyte differentiation	2
oocyte maturation	2
oogenesis	2
organ induction	2
organelle localization by membrane tethering	2
oxidoreduction coenzyme metabolic process	2
pancreas development	2
parental behavior	2
peptide hormone secretion	2
peptidyl-arginine methylation	2
peptidyl-arginine modification	2
peptidyl-arginine N-methylation	2
peptidyl-glutamic acid modification	2
peptidyl-tyrosine autophosphorylation	2
phosphatidylinositol metabolic process	2
phosphatidylinositol phosphorylation	2
phospholipase C-activating dopamine receptor signaling pathway	2
phospholipase C-activating G-protein coupled receptor signaling pathway	2
phospholipid translocation	2
phospholipid transport	2
phototransduction, visible light	2
placenta development	2
polyol metabolic process	2
positive regulation of angiogenesis	2
positive regulation of ATP biosynthetic process	2
positive regulation of ATP metabolic process	2
positive regulation of autophagy	2
positive regulation of blood vessel endothelial cell migration	2
positive regulation of cardiac muscle cell proliferation	2
positive regulation of cardiac muscle tissue growth	2
positive regulation of cell adhesion	2
positive regulation of cell cycle arrest	2
positive regulation of cell migration involved in sprouting angiogenesis	2
positive regulation of cell-cell adhesion	2
positive regulation of chromatin organization	2
positive regulation of coenzyme metabolic process	2
positive regulation of cofactor metabolic process	2
positive regulation of cyclin-dependent protein kinase activity	2
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	2
positive regulation of cytokine secretion	2
positive regulation of cytoskeleton organization	2
positive regulation of cytosolic calcium ion concentration	2
positive regulation of defense response	2
positive regulation of dendrite development	2
positive regulation of dendrite morphogenesis	2
positive regulation of dendritic spine development	2
positive regulation of dendritic spine morphogenesis	2
positive regulation of DNA binding	2
positive regulation of embryonic development	2
positive regulation of endothelial cell migration	2
positive regulation of epithelial cell migration	2
positive regulation of epithelial cell proliferation	2
positive regulation of establishment of protein localization to mitochondrion	2
positive regulation of fat cell differentiation	2
positive regulation of G-protein coupled receptor protein signaling pathway	2
positive regulation of glial cell differentiation	2
positive regulation of glycolytic process	2
positive regulation of heart growth	2
positive regulation of histone acetylation	2
positive regulation of histone modification	2
positive regulation of intracellular protein transport	2
positive regulation of intracellular transport	2
positive regulation of JNK cascade	2
positive regulation of JUN kinase activity	2
positive regulation of kidney development	2
positive regulation of leukocyte activation	2
positive regulation of leukocyte chemotaxis	2
positive regulation of leukocyte migration	2
positive regulation of lipid kinase activity	2
positive regulation of mitochondrion organization	2
positive regulation of mRNA metabolic process	2
positive regulation of neural precursor cell proliferation	2
positive regulation of NF-kappaB transcription factor activity	2
positive regulation of nucleotide biosynthetic process	2
positive regulation of nucleotide catabolic process	2
positive regulation of nucleotide metabolic process	2
positive regulation of organ growth	2
positive regulation of peptide secretion	2
positive regulation of peptidyl-lysine acetylation	2
positive regulation of phosphatidylinositol 3-kinase activity	2
positive regulation of phospholipid metabolic process	2
positive regulation of protein acetylation	2
positive regulation of protein catabolic process	2
positive regulation of protein complex assembly	2
positive regulation of protein kinase B signaling	2
positive regulation of protein localization to cell periphery	2
positive regulation of protein localization to membrane	2
positive regulation of protein localization to plasma membrane	2
positive regulation of protein secretion	2
positive regulation of protein targeting to mitochondrion	2
positive regulation of purine nucleotide biosynthetic process	2
positive regulation of purine nucleotide metabolic process	2
positive regulation of skeletal muscle tissue development	2
positive regulation of smooth muscle cell proliferation	2
positive regulation of sprouting angiogenesis	2
positive regulation of stress-activated MAPK cascade	2
positive regulation of stress-activated protein kinase signaling cascade	2
positive regulation of synaptic transmission	2
positive regulation of telomere capping	2
positive regulation of telomere maintenance	2
positive regulation of telomere maintenance via telomerase	2
positive regulation of telomere maintenance via telomere lengthening	2
positive regulation of transcription regulatory region DNA binding	2
positive regulation of vasculature development	2
post-embryonic development	2
postsynapse organization	2
posttranscriptional gene silencing	2
posttranscriptional gene silencing by RNA	2
potassium ion transmembrane transport	2
potassium ion transport	2
preganglionic parasympathetic fiber development	2
presynapse assembly	2
presynapse organization	2
production of molecular mediator of immune response	2
prostate gland development	2
prostate glandular acinus development	2
protein activation cascade	2
protein deacylation	2
protein dephosphorylation	2
protein depolymerization	2
protein glycosylation	2
protein lipidation	2
protein localization to chromosome	2
protein localization to cytoskeleton	2
protein localization to microtubule cytoskeleton	2
protein localization to mitochondrion	2
protein N-linked glycosylation	2
protein targeting	2
protein targeting to mitochondrion	2
purine nucleoside diphosphate metabolic process	2
purine nucleoside metabolic process	2
purine nucleoside monophosphate biosynthetic process	2
purine nucleoside triphosphate biosynthetic process	2
purine nucleotide catabolic process	2
purine ribonucleoside diphosphate metabolic process	2
purine ribonucleoside metabolic process	2
purine ribonucleoside monophosphate biosynthetic process	2
purine ribonucleoside triphosphate biosynthetic process	2
purine ribonucleotide catabolic process	2
purine-containing compound catabolic process	2
pyridine nucleotide biosynthetic process	2
pyridine nucleotide metabolic process	2
pyridine-containing compound biosynthetic process	2
pyridine-containing compound metabolic process	2
reactive oxygen species metabolic process	2
regulation of actin filament depolymerization	2
regulation of actin filament length	2
regulation of actin filament polymerization	2
regulation of actin polymerization or depolymerization	2
regulation of animal organ formation	2
regulation of ATP biosynthetic process	2
regulation of ATP metabolic process	2
regulation of B cell proliferation	2
regulation of blood vessel endothelial cell migration	2
regulation of branching involved in ureteric bud morphogenesis	2
regulation of calcium ion transport	2
regulation of carbohydrate catabolic process	2
regulation of cardiac muscle cell proliferation	2
regulation of cardiac muscle tissue growth	2
regulation of cartilage development	2
regulation of cell cycle G1/S phase transition	2
regulation of cell fate specification	2
regulation of cell migration involved in sprouting angiogenesis	2
regulation of cellular protein catabolic process	2
regulation of cellular response to growth factor stimulus	2
regulation of centriole replication	2
regulation of centrosome cycle	2
regulation of centrosome duplication	2
regulation of chromatin organization	2
regulation of coenzyme metabolic process	2
regulation of cofactor metabolic process	2
regulation of cyclin-dependent protein kinase activity	2
regulation of cysteine-type endopeptidase activity involved in apoptotic process	2
regulation of cytokine biosynthetic process	2
regulation of cytokine secretion	2
regulation of cytokinesis	2
regulation of dendrite morphogenesis	2
regulation of dendritic spine development	2
regulation of dendritic spine morphogenesis	2
regulation of DNA binding	2
regulation of DNA-templated transcription, elongation	2
regulation of endothelial cell migration	2
regulation of epithelial cell migration	2
regulation of epithelial to mesenchymal transition	2
regulation of establishment of protein localization to mitochondrion	2
regulation of G1/S transition of mitotic cell cycle	2
regulation of generation of precursor metabolites and energy	2
regulation of glial cell differentiation	2
regulation of glucose import	2
regulation of glucose transmembrane transport	2
regulation of glycolytic process	2
regulation of granulocyte chemotaxis	2
regulation of heart growth	2
regulation of heart morphogenesis	2
regulation of histone acetylation	2
regulation of histone modification	2
regulation of hormone secretion	2
regulation of intracellular estrogen receptor signaling pathway	2
regulation of intracellular protein transport	2
regulation of intracellular steroid hormone receptor signaling pathway	2
regulation of intrinsic apoptotic signaling pathway	2
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	2
regulation of ion transmembrane transport	2
regulation of JNK cascade	2
regulation of JUN kinase activity	2
regulation of leukocyte chemotaxis	2
regulation of leukocyte differentiation	2
regulation of leukocyte migration	2
regulation of leukocyte proliferation	2
regulation of lipid biosynthetic process	2
regulation of lipid kinase activity	2
regulation of lymphocyte differentiation	2
regulation of lymphocyte proliferation	2
regulation of meiotic cell cycle	2
regulation of membrane lipid distribution	2
regulation of mesonephros development	2
regulation of mononuclear cell proliferation	2
regulation of morphogenesis of a branching structure	2
regulation of mRNA processing	2
regulation of muscle cell differentiation	2
regulation of muscle system process	2
regulation of myeloid cell differentiation	2
regulation of neural precursor cell proliferation	2
regulation of neuronal synaptic plasticity	2
regulation of neurotransmitter levels	2
regulation of nuclear division	2
regulation of nucleotide biosynthetic process	2
regulation of nucleotide catabolic process	2
regulation of nucleotide metabolic process	2
regulation of oocyte development	2
regulation of oogenesis	2
regulation of ossification	2
regulation of peptide hormone secretion	2
regulation of peptidyl-lysine acetylation	2
regulation of peptidyl-serine phosphorylation	2
regulation of phosphatidylinositol 3-kinase activity	2
regulation of phospholipid metabolic process	2
regulation of postsynapse organization	2
regulation of production of molecular mediator of immune response	2
regulation of proteasomal protein catabolic process	2
regulation of proteasomal ubiquitin-dependent protein catabolic process	2
regulation of protein acetylation	2
regulation of protein complex disassembly	2
regulation of protein depolymerization	2
regulation of protein kinase B signaling	2
regulation of protein targeting	2
regulation of protein targeting to mitochondrion	2
regulation of proteolysis involved in cellular protein catabolic process	2
regulation of purine nucleotide biosynthetic process	2
regulation of purine nucleotide metabolic process	2
regulation of reactive oxygen species metabolic process	2
regulation of receptor internalization	2
regulation of receptor-mediated endocytosis	2
regulation of response to DNA damage stimulus	2
regulation of response to wounding	2
regulation of skeletal muscle tissue development	2
regulation of smooth muscle cell migration	2
regulation of smooth muscle cell proliferation	2
regulation of sprouting angiogenesis	2
regulation of stem cell proliferation	2
regulation of striated muscle cell differentiation	2
regulation of telomere capping	2
regulation of telomere maintenance	2
regulation of telomere maintenance via telomerase	2
regulation of telomere maintenance via telomere lengthening	2
regulation of transcription involved in cell fate commitment	2
regulation of transcription regulatory region DNA binding	2
regulation of ubiquitin-dependent protein catabolic process	2
regulation of wound healing	2
renal system process	2
reproductive behavior	2
respiratory gaseous exchange	2
response to activity	2
response to alcohol	2
response to anesthetic	2
response to catecholamine	2
response to dsRNA	2
response to endoplasmic reticulum stress	2
response to epidermal growth factor	2
response to estradiol	2
response to fatty acid	2
response to hydrogen peroxide	2
response to ionizing radiation	2
response to ketone	2
response to mechanical stimulus	2
response to monoamine	2
response to prostaglandin	2
response to prostaglandin E	2
response to retinoic acid	2
response to transforming growth factor beta	2
response to UV	2
retina development in camera-type eye	2
retrograde vesicle-mediated transport, Golgi to ER	2
ribonucleoside diphosphate metabolic process	2
ribonucleoside metabolic process	2
ribonucleoside monophosphate biosynthetic process	2
ribonucleoside triphosphate biosynthetic process	2
ribonucleotide catabolic process	2
RNA stabilization	2
RNA-dependent DNA biosynthetic process	2
secondary alcohol biosynthetic process	2
secondary alcohol metabolic process	2
secondary palate development	2
sensory perception of light stimulus	2
sensory perception of mechanical stimulus	2
sensory perception of pain	2
sensory perception of sound	2
signal transduction in response to DNA damage	2
signal transduction involved in cell cycle checkpoint	2
signal transduction involved in DNA damage checkpoint	2
signal transduction involved in DNA integrity checkpoint	2
signal transduction involved in mitotic cell cycle checkpoint	2
signal transduction involved in mitotic DNA damage checkpoint	2
signal transduction involved in mitotic DNA integrity checkpoint	2
signal transduction involved in mitotic G1 DNA damage checkpoint	2
skeletal muscle cell differentiation	2
sodium ion transmembrane transport	2
sodium ion transport	2
specification of animal organ identity	2
spindle assembly	2
spindle organization	2
spleen development	2
sprouting angiogenesis	2
stem cell development	2
sterol biosynthetic process	2
sterol metabolic process	2
striated muscle cell proliferation	2
sulfur compound biosynthetic process	2
sympathetic nervous system development	2
synaptic transmission, glutamatergic	2
telomere capping	2
telomere maintenance	2
telomere maintenance via telomerase	2
telomere maintenance via telomere lengthening	2
telomere organization	2
thioester metabolic process	2
translational elongation	2
translational termination	2
transmembrane receptor protein serine/threonine kinase signaling pathway	2
trigeminal nerve development	2
urea metabolic process	2
vacuole organization	2
vascular process in circulatory system	2
viral entry into host cell	2
visual perception	2
water homeostasis	2
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	2
Wnt signaling pathway, calcium modulating pathway	2
'de novo' posttranslational protein folding	1
'de novo' protein folding	1
3'-UTR-mediated mRNA destabilization	1
acid secretion	1
acidic amino acid transport	1
activation of adenylate cyclase activity	1
activation of innate immune response	1
activation of JUN kinase activity	1
activation of phospholipase C activity	1
activation of protein kinase A activity	1
acyl-CoA biosynthetic process	1
adaptive thermogenesis	1
adenine nucleotide transport	1
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	1
adhesion of symbiont to host	1
adhesion of symbiont to host cell	1
ADP transport	1
alpha-amino acid biosynthetic process	1
alpha-beta T cell activation	1
alpha-beta T cell activation involved in immune response	1
alpha-beta T cell differentiation	1
alpha-beta T cell differentiation involved in immune response	1
alpha-beta T cell lineage commitment	1
alternative mRNA splicing, via spliceosome	1
amino acid import	1
amino sugar biosynthetic process	1
amino sugar metabolic process	1
aminoglycan catabolic process	1
ammonium ion metabolic process	1
androgen metabolic process	1
anion homeostasis	1
antibacterial humoral response	1
antibiotic metabolic process	1
antigen receptor-mediated signaling pathway	1
apoptotic cell clearance	1
astrocyte activation	1
astrocyte development	1
ATP hydrolysis coupled cation transmembrane transport	1
ATP synthesis coupled electron transport	1
ATP transport	1
autophagosome assembly	1
autophagosome organization	1
autophagy of mitochondrion	1
axis elongation	1
axon ensheathment in central nervous system	1
axonemal dynein complex assembly	1
axoneme assembly	1
B cell apoptotic process	1
B cell homeostasis	1
B cell receptor signaling pathway	1
barbed-end actin filament capping	1
basement membrane organization	1
behavioral response to cocaine	1
behavioral response to pain	1
benzene-containing compound metabolic process	1
bicarbonate transport	1
bile acid and bile salt transport	1
bile acid biosynthetic process	1
bile acid metabolic process	1
body fluid secretion	1
branching involved in salivary gland morphogenesis	1
C-terminal protein amino acid modification	1
C-terminal protein lipidation	1
C21-steroid hormone metabolic process	1
calcium ion import	1
cAMP biosynthetic process	1
cAMP catabolic process	1
carbohydrate biosynthetic process	1
carbohydrate derivative transport	1
cardiac cell development	1
cardiac cell fate commitment	1
cardiac chamber formation	1
cardiac conduction	1
cardiac muscle cell action potential	1
cardiac muscle cell development	1
cardiac muscle cell fate commitment	1
cardiac muscle cell myoblast differentiation	1
cardiac muscle contraction	1
cardiac myofibril assembly	1
cardiac neural crest cell development involved in heart development	1
cardiac neural crest cell differentiation involved in heart development	1
cardiac ventricle development	1
carnitine shuttle	1
cartilage condensation	1
catecholamine secretion	1
caveolin-mediated endocytosis	1
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	1
CD4-positive, alpha-beta T cell activation	1
CD4-positive, alpha-beta T cell differentiation	1
CD4-positive, alpha-beta T cell differentiation involved in immune response	1
CD4-positive, alpha-beta T cell lineage commitment	1
Cdc42 protein signal transduction	1
cell aggregation	1
cell aging	1
cell chemotaxis to fibroblast growth factor	1
cell death in response to oxidative stress	1
cell differentiation in hindbrain	1
cell fate commitment involved in pattern specification	1
cell fate determination	1
cell fate specification involved in pattern specification	1
cell killing	1
cell migration in hindbrain	1
cell migration involved in heart development	1
cell proliferation involved in kidney development	1
cell proliferation involved in metanephros development	1
cell surface receptor signaling pathway involved in heart development	1
cell-matrix adhesion	1
cellular amino acid biosynthetic process	1
cellular carbohydrate metabolic process	1
cellular component assembly involved in morphogenesis	1
cellular component maintenance	1
cellular hormone metabolic process	1
cellular iron ion homeostasis	1
cellular lipid catabolic process	1
cellular modified amino acid catabolic process	1
cellular monovalent inorganic cation homeostasis	1
cellular oxidant detoxification	1
cellular respiration	1
cellular response to amino acid starvation	1
cellular response to cadmium ion	1
cellular response to carbohydrate stimulus	1
cellular response to corticosteroid stimulus	1
cellular response to dopamine	1
cellular response to dsRNA	1
cellular response to epidermal growth factor stimulus	1
cellular response to ethanol	1
cellular response to forskolin	1
cellular response to glucagon stimulus	1
cellular response to glucocorticoid stimulus	1
cellular response to glucose starvation	1
cellular response to growth hormone stimulus	1
cellular response to hydrogen peroxide	1
cellular response to inorganic substance	1
cellular response to interferon-gamma	1
cellular response to interleukin-12	1
cellular response to lipopolysaccharide	1
cellular response to mechanical stimulus	1
cellular response to metal ion	1
cellular response to nerve growth factor stimulus	1
cellular response to platelet-derived growth factor stimulus	1
cellular response to retinoic acid	1
cellular response to topologically incorrect protein	1
cellular response to unfolded protein	1
cellular response to vascular endothelial growth factor stimulus	1
cellular senescence	1
cellular transition metal ion homeostasis	1
CENP-A containing chromatin organization	1
CENP-A containing nucleosome assembly	1
central nervous system myelination	1
central nervous system projection neuron axonogenesis	1
centromere complex assembly	1
centrosome localization	1
ceramide biosynthetic process	1
ceramide metabolic process	1
cerebellar cortex development	1
cerebellar cortex morphogenesis	1
cerebellar Purkinje cell layer development	1
cerebellar Purkinje cell layer morphogenesis	1
cerebellum development	1
cerebellum morphogenesis	1
cerebral cortex cell migration	1
cerebral cortex neuron differentiation	1
cerebral cortex radially oriented cell migration	1
cGMP-mediated signaling	1
chemosensory behavior	1
chromatin disassembly	1
chromatin remodeling at centromere	1
chromatin silencing at rDNA	1
cilium movement	1
circadian regulation of gene expression	1
clathrin-dependent endocytosis	1
cochlea development	1
cochlea morphogenesis	1
coenzyme catabolic process	1
cofactor catabolic process	1
collagen biosynthetic process	1
collagen catabolic process	1
collateral sprouting	1
complement activation, alternative pathway	1
complement activation, lectin pathway	1
contractile actin filament bundle assembly	1
COPII-coated vesicle budding	1
copper ion transport	1
coronary vasculature development	1
coronary vasculature morphogenesis	1
cortical actin cytoskeleton organization	1
cortical cytoskeleton organization	1
corticosteroid receptor signaling pathway	1
craniofacial suture morphogenesis	1
cyclic nucleotide catabolic process	1
cytokine production involved in immune response	1
cytokine secretion involved in immune response	1
cytokinetic process	1
cytoplasmic microtubule organization	1
cytoplasmic mRNA processing body assembly	1
cytoskeleton-dependent cytokinesis	1
cytosolic transport	1
defense response to Gram-negative bacterium	1
defense response to virus	1
definitive hemopoiesis	1
demethylation	1
dendritic cell chemotaxis	1
dendritic cell migration	1
desmosome organization	1
detection of bacterium	1
detection of biotic stimulus	1
detection of external biotic stimulus	1
detection of molecule of bacterial origin	1
detection of other organism	1
development of primary female sexual characteristics	1
developmental pigmentation	1
dicarboxylic acid catabolic process	1
dicarboxylic acid metabolic process	1
dicarboxylic acid transport	1
dichotomous subdivision of an epithelial terminal unit	1
diencephalon development	1
digestive tract morphogenesis	1
disruption of cells of other organism	1
distal tubule development	1
DNA duplex unwinding	1
DNA geometric change	1
DNA recombination	1
DNA replication-independent nucleosome assembly	1
DNA replication-independent nucleosome organization	1
dopamine transport	1
dorsal spinal cord development	1
dsRNA fragmentation	1
early endosome to late endosome transport	1
ectodermal placode development	1
ectodermal placode formation	1
ectodermal placode morphogenesis	1
embryo implantation	1
embryonic camera-type eye formation	1
embryonic digestive tract development	1
embryonic digestive tract morphogenesis	1
embryonic pattern specification	1
embryonic placenta development	1
embryonic placenta morphogenesis	1
endocardial cushion development	1
endocardial cushion morphogenesis	1
endocardium development	1
endochondral ossification	1
endocrine pancreas development	1
endoderm formation	1
endoplasmic reticulum unfolded protein response	1
endosomal transport	1
endosome organization	1
endothelial cell chemotaxis	1
endothelial cell chemotaxis to fibroblast growth factor	1
endothelial cell development	1
endothelial cell differentiation	1
endothelial cell proliferation	1
endothelium development	1
energy reserve metabolic process	1
enteric nervous system development	1
entrainment of circadian clock	1
ephrin receptor signaling pathway	1
epithelial cell apoptotic process	1
epithelial cell differentiation involved in kidney development	1
epithelial cell maturation	1
epithelial cell proliferation involved in liver morphogenesis	1
epithelial cell proliferation involved in prostate gland development	1
ERAD pathway	1
erythrocyte development	1
erythrocyte maturation	1
establishment of endothelial barrier	1
establishment of organelle localization	1
establishment of planar polarity	1
establishment of planar polarity involved in neural tube closure	1
establishment of planar polarity of embryonic epithelium	1
establishment of skin barrier	1
establishment of tissue polarity	1
establishment or maintenance of actin cytoskeleton polarity	1
establishment or maintenance of cytoskeleton polarity	1
excretion	1
exit from host	1
exit from host cell	1
exocrine system development	1
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay	1
fatty acid beta-oxidation	1
fatty acid catabolic process	1
fatty acid derivative biosynthetic process	1
fatty acid homeostasis	1
fatty acid transmembrane transport	1
fatty acid transport	1
fatty-acyl-CoA biosynthetic process	1
fatty-acyl-CoA metabolic process	1
Fc receptor mediated stimulatory signaling pathway	1
Fc receptor signaling pathway	1
Fc-epsilon receptor signaling pathway	1
Fc-gamma receptor signaling pathway	1
Fc-gamma receptor signaling pathway involved in phagocytosis	1
feeding behavior	1
female gonad development	1
female pregnancy	1
female sex differentiation	1
fertilization	1
fibrinolysis	1
fibroblast activation	1
fibroblast migration	1
fibroblast proliferation	1
filopodium assembly	1
foam cell differentiation	1
folic acid metabolic process	1
folic acid-containing compound metabolic process	1
forebrain cell migration	1
forebrain regionalization	1
G-protein coupled receptor internalization	1
G0 to G1 transition	1
G2 DNA damage checkpoint	1
gamma-aminobutyric acid signaling pathway	1
ganglion development	1
gene silencing by miRNA	1
germinal center formation	1
glial cell activation	1
glial cell apoptotic process	1
glial cell proliferation	1
global genome nucleotide-excision repair	1
glomerular mesangium development	1
glomerulus development	1
glomerulus vasculature development	1
glucocorticoid receptor signaling pathway	1
gluconeogenesis	1
glucose import in response to insulin stimulus	1
glutamate secretion	1
glutamine family amino acid metabolic process	1
glutamine metabolic process	1
glutathione derivative biosynthetic process	1
glutathione derivative metabolic process	1
glutathione metabolic process	1
glycerolipid biosynthetic process	1
glycerophospholipid biosynthetic process	1
glycolipid biosynthetic process	1
glycolipid metabolic process	1
glycosaminoglycan catabolic process	1
glycoside metabolic process	1
glycosphingolipid biosynthetic process	1
glycosphingolipid metabolic process	1
glycosyl compound biosynthetic process	1
glycosylceramide metabolic process	1
GMP metabolic process	1
Golgi inheritance	1
Golgi vesicle budding	1
growth hormone receptor signaling pathway	1
growth hormone secretion	1
GTP metabolic process	1
hair cycle	1
hair cycle process	1
hair follicle development	1
heart field specification	1
heart formation	1
hematopoietic stem cell proliferation	1
hepatocyte proliferation	1
hexose biosynthetic process	1
hindbrain morphogenesis	1
hippo signaling	1
histone arginine methylation	1
histone deubiquitination	1
histone H2A monoubiquitination	1
histone H2A ubiquitination	1
histone H3 acetylation	1
histone H3-K4 methylation	1
histone H3-K4 trimethylation	1
histone monoubiquitination	1
histone ubiquitination	1
histone-serine phosphorylation	1
homotypic cell-cell adhesion	1
hyaluronan catabolic process	1
hyaluronan metabolic process	1
hyperosmotic response	1
hypothalamus development	1
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	1
immunoglobulin production	1
import across plasma membrane	1
import into nucleus	1
innate immune response in mucosa	1
innate immune response-activating signal transduction	1
inner dynein arm assembly	1
inorganic cation import across plasma membrane	1
inorganic ion import across plasma membrane	1
inositol phosphate biosynthetic process	1
insulin receptor signaling pathway	1
insulin secretion	1
interferon-gamma-mediated signaling pathway	1
interleukin-12-mediated signaling pathway	1
interleukin-17 production	1
interleukin-6 biosynthetic process	1
interleukin-6 production	1
interleukin-8 production	1
interleukin-8 secretion	1
interstrand cross-link repair	1
intracellular lipid transport	1
intracellular mRNA localization	1
intracellular transport of virus	1
intraspecies interaction between organisms	1
intrinsic apoptotic signaling pathway by p53 class mediator	1
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1
ionotropic glutamate receptor signaling pathway	1
IRE1-mediated unfolded protein response	1
JAK-STAT cascade	1
JAK-STAT cascade involved in growth hormone signaling pathway	1
keratinocyte proliferation	1
kidney vasculature development	1
killing of cells of other organism	1
L-glutamate import	1
L-glutamate transmembrane transport	1
L-serine metabolic process	1
labyrinthine layer development	1
labyrinthine layer morphogenesis	1
lactation	1
lens development in camera-type eye	1
leukocyte apoptotic process	1
leukocyte cell-cell adhesion	1
leukocyte homeostasis	1
lipid homeostasis	1
lipopolysaccharide-mediated signaling pathway	1
lipoprotein catabolic process	1
liposaccharide metabolic process	1
liver morphogenesis	1
long-chain fatty acid transport	1
long-chain fatty-acyl-CoA biosynthetic process	1
long-chain fatty-acyl-CoA metabolic process	1
loop of Henle development	1
lung alveolus development	1
lung cell differentiation	1
lung epithelial cell differentiation	1
lung epithelium development	1
lymph node development	1
lymph vessel development	1
lymph vessel morphogenesis	1
lymphangiogenesis	1
lymphocyte activation involved in immune response	1
lymphocyte apoptotic process	1
lymphocyte homeostasis	1
lysosome localization	1
lysosome organization	1
lytic vacuole organization	1
macromolecule depalmitoylation	1
macrophage chemotaxis	1
macrophage derived foam cell differentiation	1
macrophage differentiation	1
macrophage migration	1
magnesium ion homeostasis	1
magnesium ion transmembrane transport	1
magnesium ion transport	1
male meiotic nuclear division	1
mammary gland morphogenesis	1
megakaryocyte differentiation	1
meiotic spindle organization	1
melanocyte differentiation	1
membrane depolarization	1
membrane depolarization during action potential	1
membrane depolarization during cardiac muscle cell action potential	1
membrane fusion	1
membrane invagination	1
membrane protein intracellular domain proteolysis	1
membranous septum morphogenesis	1
mesenchymal cell apoptotic process	1
mesenchymal cell proliferation	1
mesenchymal to epithelial transition	1
mesenchymal to epithelial transition involved in metanephros morphogenesis	1
metanephric epithelium development	1
metanephric glomerulus development	1
metanephric mesenchyme development	1
metanephric nephron epithelium development	1
metanephric nephron tubule development	1
metanephric renal vesicle morphogenesis	1
metanephric tubule development	1
microglial cell activation	1
microtubule anchoring	1
microtubule anchoring at microtubule organizing center	1
microtubule bundle formation	1
microtubule cytoskeleton organization involved in mitosis	1
microtubule nucleation	1
microtubule organizing center localization	1
microtubule polymerization	1
microtubule polymerization or depolymerization	1
microtubule-based transport	1
miRNA mediated inhibition of translation	1
miRNA metabolic process	1
mitochondrial ATP synthesis coupled electron transport	1
mitochondrial electron transport, NADH to ubiquinone	1
mitochondrial membrane organization	1
mitochondrial outer membrane permeabilization	1
mitochondrial outer membrane permeabilization involved in programmed cell death	1
mitochondrial respiratory chain complex assembly	1
mitochondrial respiratory chain complex I assembly	1
mitochondrial RNA metabolic process	1
mitochondrial transcription	1
mitochondrion disassembly	1
mitochondrion distribution	1
mitochondrion localization	1
mitotic cytokinesis	1
mitotic G2 DNA damage checkpoint	1
mitotic G2/M transition checkpoint	1
mitotic sister chromatid segregation	1
mitotic spindle organization	1
modulation by host of viral genome replication	1
modulation by host of viral process	1
modulation by symbiont of host cellular process	1
modulation by virus of host process	1
molting cycle	1
molting cycle process	1
monocarboxylic acid catabolic process	1
monocyte differentiation	1
mononuclear cell differentiation	1
mononuclear cell migration	1
monosaccharide biosynthetic process	1
monovalent inorganic cation homeostasis	1
morphogenesis of a polarized epithelium	1
morphogenesis of an epithelial bud	1
morphogenesis of an epithelial fold	1
motile cilium assembly	1
movement in environment of other organism involved in symbiotic interaction	1
movement in host environment	1
mRNA 3'-end processing	1
mRNA destabilization	1
mRNA splice site selection	1
mRNA transcription	1
mRNA transcription by RNA polymerase II	1
mucopolysaccharide metabolic process	1
mucosal immune response	1
multi-organism behavior	1
multi-organism localization	1
multi-organism transport	1
multicellular organismal signaling	1
muscle adaptation	1
muscle cell development	1
