Biological Process	Number of genes
erythrocyte differentiation	7
mitotic DNA damage checkpoint	7
transcription elongation from RNA polymerase II promoter	7
regulation of steroid metabolic process	7
dicarboxylic acid metabolic process	7
DNA modification	7
cellular component assembly involved in morphogenesis	7
DNA damage response, signal transduction by p53 class mediator	7
Wnt signaling pathway, planar cell polarity pathway	7
TOR signaling	7
regulation of establishment of planar polarity	7
mitotic DNA integrity checkpoint	7
regulation of production of molecular mediator of immune response	7
erythrocyte homeostasis	7
peptidyl-lysine methylation	7
localization within membrane	7
gland morphogenesis	7
negative regulation of protein secretion	7
regulation of regulated secretory pathway	7
regulation of lymphocyte mediated immunity	7
positive regulation of cation transmembrane transport	7
response to estradiol	7
positive regulation of hormone secretion	7
platelet degranulation	7
phosphatidylinositol 3-kinase signaling	7
positive regulation of protein polymerization	7
response to ethanol	7
regulation of peptidyl-serine phosphorylation	7
positive regulation of lymphocyte proliferation	7
positive regulation of mononuclear cell proliferation	7
pyruvate metabolic process	7
regulation of histone modification	7
amino acid transport	7
negative regulation of neuron projection development	7
positive regulation of leukocyte proliferation	7
positive regulation of NF-kappaB transcription factor activity	7
response to glucocorticoid	7
membrane lipid biosynthetic process	7
cytosolic transport	7
proton transmembrane transport	7
positive regulation of stress-activated MAPK cascade	7
protein targeting to mitochondrion	7
positive regulation of stress-activated protein kinase signaling cascade	7
regulation of extrinsic apoptotic signaling pathway	7
telomere maintenance	7
vacuole organization	7
negative regulation of cell-cell adhesion	7
response to corticosteroid	7
regulation of response to wounding	7
cellular response to reactive oxygen species	7
pallium development	7
regulation of cellular ketone metabolic process	7
negative regulation of cell projection organization	7
regulation of JNK cascade	7
regulation of protein maturation	7
positive regulation of peptidyl-tyrosine phosphorylation	7
protein export from nucleus	7
fertilization	7
regeneration	7
regulation of response to DNA damage stimulus	7
oxidoreduction coenzyme metabolic process	7
cellular modified amino acid metabolic process	7
regulation of neuron apoptotic process	7
JNK cascade	7
T cell receptor signaling pathway	7
membrane lipid metabolic process	7
regulation of endocytosis	7
hexose metabolic process	7
Fc receptor signaling pathway	7
endothelial cell migration	7
protein kinase B signaling	7
glycerolipid biosynthetic process	7
regulation of cellular response to growth factor stimulus	7
phospholipid biosynthetic process	7
cranial nerve morphogenesis	7
neuromuscular process controlling balance	7
lens development in camera-type eye	7
feeding behavior	7
regulation of myeloid leukocyte differentiation	7
lymphocyte activation involved in immune response	7
spinal cord motor neuron cell fate specification	6
oxygen transport	6
N-terminal protein amino acid acetylation	6
establishment of planar polarity of embryonic epithelium	6
parasympathetic nervous system development	6
regulation of epithelial tube formation	6
gas transport	6
middle ear morphogenesis	6
trachea development	6
sympathetic nervous system development	6
motor neuron axon guidance	6
modulation by virus of host process	6
DNA demethylation	6
mRNA cleavage	6
regulation of axon extension involved in axon guidance	6
modulation by symbiont of host cellular process	6
positive regulation of peptidyl-lysine acetylation	6
DNA dealkylation	6
axon extension involved in axon guidance	6
neuron projection extension involved in neuron projection guidance	6
release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	6
embryonic eye morphogenesis	6
release of sequestered calcium ion into cytosol by endoplasmic reticulum	6
phototransduction, visible light	6
regulation of cell fate commitment	6
actin filament capping	6
lung epithelium development	6
sarcoplasmic reticulum calcium ion transport	6
endocardial cushion development	6
negative regulation of actin filament depolymerization	6
organic cation transport	6
production of miRNAs involved in gene silencing by miRNA	6
cytolysis	6
protein localization to microtubule cytoskeleton	6
endocrine pancreas development	6
response to epidermal growth factor	6
regulation of erythrocyte differentiation	6
dsRNA fragmentation	6
production of small RNA involved in gene silencing by RNA	6
positive regulation of Notch signaling pathway	6
face development	6
labyrinthine layer development	6
regulation of transcription regulatory region DNA binding	6
regulation of actin filament depolymerization	6
protein localization to cytoskeleton	6
protein insertion into membrane	6
digestive tract morphogenesis	6
endochondral bone morphogenesis	6
replacement bone morphogenesis	6
social behavior	6
intraspecies interaction between organisms	6
bicellular tight junction assembly	6
actin filament depolymerization	6
regulation of histone acetylation	6
regulation of insulin secretion involved in cellular response to glucose stimulus	6
positive regulation of DNA binding	6
positive regulation of gliogenesis	6
negative regulation of actin filament polymerization	6
positive regulation of reproductive process	6
positive regulation of protein localization to cell periphery	6
neural retina development	6
negative regulation of cell-substrate adhesion	6
regulation of interleukin-8 production	6
macrophage activation	6
embryonic digit morphogenesis	6
negative regulation of calcium ion transport	6
positive regulation of calcium ion transmembrane transport	6
positive regulation of tumor necrosis factor production	6
regulation of mitochondrial membrane permeability involved in apoptotic process	6
positive regulation of insulin secretion	6
myofibril assembly	6
IRE1-mediated unfolded protein response	6
pigment metabolic process	6
interleukin-8 production	6
positive regulation of tumor necrosis factor superfamily cytokine production	6
cell-cell recognition	6
long-term synaptic potentiation	6
multi-organism transport	6
purine ribonucleoside metabolic process	6
multi-organism localization	6
natural killer cell activation	6
DNA duplex unwinding	6
regulation of intracellular steroid hormone receptor signaling pathway	6
tRNA modification	6
peripheral nervous system development	6
purine nucleoside metabolic process	6
regulation of neural precursor cell proliferation	6
vasculogenesis	6
drug transmembrane transport	6
regulation of cyclic nucleotide biosynthetic process	6
regulation of cAMP metabolic process	6
protein localization to chromosome	6
signal transduction involved in DNA integrity checkpoint	6
signal transduction involved in DNA damage checkpoint	6
endoderm development	6
mononuclear cell migration	6
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	6
amino acid transmembrane transport	6
regulation of cell junction assembly	6
regulation of steroid biosynthetic process	6
positive regulation of histone modification	6
positive regulation of striated muscle tissue development	6
positive regulation of muscle organ development	6
pyrimidine-containing compound metabolic process	6
amine transport	6
positive regulation of muscle tissue development	6
regulation of JUN kinase activity	6
oligodendrocyte differentiation	6
regulation of calcium ion transmembrane transporter activity	6
retinoid metabolic process	6
mRNA 3'-end processing	6
dendritic spine development	6
positive regulation of peptide hormone secretion	6
autophagosome assembly	6
B cell proliferation	6
glial cell development	6
regulation of cytokine biosynthetic process	6
maintenance of location in cell	6
autophagosome organization	6
cellular oxidant detoxification	6
positive regulation of peptidyl-serine phosphorylation	6
regulation of phosphatidylinositol 3-kinase signaling	6
membrane depolarization	6
limbic system development	6
leukocyte apoptotic process	6
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	6
pyruvate biosynthetic process	6
negative regulation of extrinsic apoptotic signaling pathway	6
adenylate cyclase-activating G-protein coupled receptor signaling pathway	6
response to retinoic acid	6
positive regulation of autophagy	6
cytokine biosynthetic process	6
cytokine metabolic process	6
glucose transmembrane transport	6
memory	6
myotube differentiation	6
phospholipase C-activating G-protein coupled receptor signaling pathway	6
hematopoietic stem cell differentiation	6
hexose transmembrane transport	6
positive regulation of endothelial cell migration	6
acylglycerol metabolic process	6
negative regulation of G1/S transition of mitotic cell cycle	6
neutral lipid metabolic process	6
centrosome cycle	6
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	6
negative regulation of small molecule metabolic process	6
negative regulation of cell cycle G1/S phase transition	6
collagen metabolic process	6
positive regulation of lipid metabolic process	6
positive regulation of JNK cascade	6
regulation of protein targeting	6
microtubule organizing center organization	6
nicotinamide nucleotide biosynthetic process	6
pyridine nucleotide biosynthetic process	6
regulation of adaptive immune response	6
ribonucleoprotein complex localization	6
histone methylation	6
negative regulation of lymphocyte activation	6
pyridine-containing compound biosynthetic process	6
synaptic vesicle cycle	6
positive regulation of leukocyte differentiation	6
regulation of wound healing	6
RNA 3'-end processing	6
negative regulation of neuron apoptotic process	6
regulation of blood vessel size	6
regulation of tube size	6
hepaticobiliary system development	6
single fertilization	6
positive regulation of mitotic cell cycle	6
regulation of T cell proliferation	6
response to ionizing radiation	6
mitochondrial gene expression	6
regulation of lymphocyte differentiation	6
negative regulation of epithelial cell proliferation	6
complement activation	6
regulation of protein processing	6
blood vessel endothelial cell migration	6
pyridine nucleotide metabolic process	6
nicotinamide nucleotide metabolic process	6
tumor necrosis factor-mediated signaling pathway	6
JAK-STAT cascade	6
T cell proliferation	6
pyridine-containing compound metabolic process	6
regulation of G1/S transition of mitotic cell cycle	6
STAT cascade	6
positive regulation of apoptotic signaling pathway	6
protein targeting to membrane	6
cellular response to molecule of bacterial origin	6
protein activation cascade	6
negative regulation of defense response	6
glucose metabolic process	6
positive regulation of epithelial cell proliferation	6
regulation of cell cycle G1/S phase transition	6
endosomal transport	6
cellular response to biotic stimulus	6
response to nutrient	6
cellular lipid catabolic process	6
regulation of endothelial cell migration	6
tissue homeostasis	6
carbohydrate biosynthetic process	6
negative regulation of cellular catabolic process	6
glycerophospholipid biosynthetic process	6
activation of adenylate cyclase activity	6
actin filament-based movement	6
protein tetramerization	6
tissue remodeling	6
double-strand break repair	6
negative regulation of cell fate commitment	5
limb bud formation	5
cytidine to uridine editing	5
regulation of cell fate specification	5
planar cell polarity pathway involved in neural tube closure	5
mesodermal cell fate specification	5
spinal cord association neuron differentiation	5
cardiac cell fate commitment	5
regulation of establishment of planar polarity involved in neural tube closure	5
establishment of planar polarity involved in neural tube closure	5
positive regulation of sequestering of calcium ion	5
base conversion or substitution editing	5
craniofacial suture morphogenesis	5
mesodermal cell fate commitment	5
organ induction	5
regulation of transposition	5
negative regulation of transposition	5
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	5
dorsal spinal cord development	5
lung epithelial cell differentiation	5
lung cell differentiation	5
transposition	5
response to prostaglandin E	5
glucocorticoid metabolic process	5
thyroid gland development	5
negative regulation of steroid metabolic process	5
negative regulation of embryonic development	5
microtubule nucleation	5
embryonic camera-type eye morphogenesis	5
regulation of cardiac muscle contraction by calcium ion signaling	5
cell proliferation in forebrain	5
hair follicle morphogenesis	5
androgen metabolic process	5
forebrain neuron development	5
secondary metabolite biosynthetic process	5
endocardial cushion morphogenesis	5
positive regulation of histone acetylation	5
epithelial tube branching involved in lung morphogenesis	5
blastocyst formation	5
respiratory system process	5
centriole replication	5
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	5
epidermis morphogenesis	5
response to prostaglandin	5
regulation of fibroblast migration	5
neuromuscular synaptic transmission	5
tRNA methylation	5
centriole assembly	5
positive regulation of calcium ion transmembrane transporter activity	5
positive regulation of cAMP metabolic process	5
positive regulation of telomere maintenance via telomerase	5
cellular response to monoamine stimulus	5
cellular response to catecholamine stimulus	5
aorta morphogenesis	5
cell-cell adhesion mediated by cadherin	5
embryonic digestive tract development	5
regulation of phospholipase C activity	5
positive regulation of telomerase activity	5
positive regulation of telomere maintenance via telomere lengthening	5
response to monoamine	5
response to catecholamine	5
embryonic camera-type eye development	5
positive regulation of release of sequestered calcium ion into cytosol	5
neural tube patterning	5
regulation of intracellular estrogen receptor signaling pathway	5
positive regulation of mRNA catabolic process	5
negative regulation of calcium ion transmembrane transporter activity	5
ventricular septum morphogenesis	5
cGMP biosynthetic process	5
metanephric nephron development	5
maintenance of protein localization in organelle	5
fibroblast migration	5
positive regulation of cyclic nucleotide biosynthetic process	5
regulation of cAMP-mediated signaling	5
response to electrical stimulus	5
regulation of gastrulation	5
apoptotic cell clearance	5
negative regulation of peptide hormone secretion	5
negative regulation of calcium ion transmembrane transport	5
bicarbonate transport	5
establishment or maintenance of epithelial cell apical/basal polarity	5
negative regulation of leukocyte mediated immunity	5
positive regulation of interleukin-8 production	5
hydrogen peroxide metabolic process	5
glandular epithelial cell differentiation	5
purine nucleotide catabolic process	5
RNA secondary structure unwinding	5
response to exogenous dsRNA	5
negative regulation of G-protein coupled receptor protein signaling pathway	5
regulation of telomerase activity	5
response to cold	5
establishment or maintenance of apical/basal cell polarity	5
cellular carbohydrate catabolic process	5
negative regulation of fat cell differentiation	5
establishment or maintenance of bipolar cell polarity	5
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	5
L-alpha-amino acid transmembrane transport	5
mesenchymal cell proliferation	5
negative regulation of lipid biosynthetic process	5
zymogen activation	5
protein K48-linked ubiquitination	5
negative regulation of cation channel activity	5
positive regulation of calcium ion transport into cytosol	5
aorta development	5
regulation of neuronal synaptic plasticity	5
regulation of skeletal muscle tissue development	5
positive regulation of protein localization to plasma membrane	5
'de novo' protein folding	5
catecholamine metabolic process	5
catechol-containing compound metabolic process	5
regulation of telomere maintenance via telomerase	5
positive regulation of ATPase activity	5
cellular response to fatty acid	5
purine-containing compound catabolic process	5
guanosine-containing compound metabolic process	5
ventricular cardiac muscle tissue development	5
negative regulation of chemotaxis	5
regulation of kidney development	5
endoderm formation	5
regulation of morphogenesis of a branching structure	5
cell communication involved in cardiac conduction	5
mitochondrial outer membrane permeabilization	5
regulation of cAMP biosynthetic process	5
cofactor catabolic process	5
cellular response to alcohol	5
regulation of phospholipase activity	5
intracellular transport of virus	5
positive regulation of cation channel activity	5
negative regulation of intracellular transport	5
blastocyst development	5
transport of virus	5
positive regulation of mitochondrial membrane permeability involved in apoptotic process	5
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	5
negative regulation of hormone secretion	5
cellular response to amino acid stimulus	5
signal transduction involved in mitotic G1 DNA damage checkpoint	5
intracellular signal transduction involved in G1 DNA damage checkpoint	5
mitochondrial outer membrane permeabilization involved in programmed cell death	5
centrosome duplication	5
catecholamine transport	5
negative regulation of protein ubiquitination	5
positive regulation of mitochondrial membrane permeability	5
regulation of cartilage development	5
signal transduction involved in mitotic cell cycle checkpoint	5
organic hydroxy compound catabolic process	5
signal transduction involved in mitotic DNA damage checkpoint	5
signal transduction involved in mitotic DNA integrity checkpoint	5
L-amino acid transport	5
smooth muscle cell differentiation	5
mitotic cytokinesis	5
ventricular septum development	5
inositol phosphate metabolic process	5
positive regulation of membrane permeability	5
telomere maintenance via telomerase	5
multicellular organismal response to stress	5
cardiac muscle tissue morphogenesis	5
termination of RNA polymerase II transcription	5
negative regulation of mononuclear cell proliferation	5
negative regulation of lymphocyte proliferation	5
negative regulation of response to DNA damage stimulus	5
RNA methylation	5
positive regulation of JUN kinase activity	5
mammary gland epithelium development	5
regulation of microtubule polymerization or depolymerization	5
mitotic G1 DNA damage checkpoint	5
regulation of neurological system process	5
mitotic G1/S transition checkpoint	5
G1 DNA damage checkpoint	5
transcription-coupled nucleotide-excision repair	5
glutamine family amino acid metabolic process	5
negative regulation of leukocyte proliferation	5
regulation of ATPase activity	5
response to anesthetic	5
RNA-dependent DNA biosynthetic process	5
regulation of smoothened signaling pathway	5
monoamine transport	5
maintenance of protein location in cell	5
regulation of cell migration involved in sprouting angiogenesis	5
vesicle-mediated transport to the plasma membrane	5
regulation of oxidative stress-induced cell death	5
negative regulation of mRNA metabolic process	5
cellular response to UV	5
cardiac muscle cell development	5
regulation of amine transport	5
negative regulation of protein modification by small protein conjugation or removal	5
ATP-dependent chromatin remodeling	5
glucose import	5
regulation of epidermis development	5
cytoskeleton-dependent cytokinesis	5
myoblast differentiation	5
cardiac cell development	5
adherens junction assembly	5
hormone biosynthetic process	5
regulation of anion transport	5
regulation of dendrite morphogenesis	5
positive regulation of protein targeting to mitochondrion	5
regulation of lipase activity	5
cytokine production involved in immune response	5
regulation of fatty acid metabolic process	5
regulation of cellular response to oxidative stress	5
cell migration involved in sprouting angiogenesis	5
regulation of synapse assembly	5
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	5
negative regulation of cell morphogenesis involved in differentiation	5
fatty acid transport	5
energy reserve metabolic process	5
regulation of interferon-gamma production	5
cell death in response to oxidative stress	5
regulation of cardiac muscle tissue development	5
regulation of response to drug	5
protein N-linked glycosylation	5
body fluid secretion	5
positive regulation of reactive oxygen species metabolic process	5
regulation of protein targeting to mitochondrion	5
regulation of cyclin-dependent protein kinase activity	5
cerebellum development	5
digestive system process	5
regulation of response to oxidative stress	5
chondrocyte differentiation	5
triglyceride metabolic process	5
glycolytic process	5
plasma membrane invagination	5
epithelial cell apoptotic process	5
ATP generation from ADP	5
lysosomal transport	5
sphingolipid biosynthetic process	5
regulation of nucleocytoplasmic transport	5
interferon-gamma production	5
regulation of cofactor metabolic process	5
acyl-CoA metabolic process	5
intrinsic apoptotic signaling pathway in response to DNA damage	5
thioester metabolic process	5
regulation of hematopoietic stem cell differentiation	5
histone lysine methylation	5
reactive oxygen species biosynthetic process	5
negative regulation of immune effector process	5
maintenance of protein location	5
ADP metabolic process	5
regulation of organ growth	5
smooth muscle contraction	5
glycosaminoglycan biosynthetic process	5
membrane invagination	5
protein deacylation	5
response to amino acid	5
macromolecule deacylation	5
regulation of striated muscle cell differentiation	5
mRNA export from nucleus	5
regulation of interleukin-6 production	5
mRNA-containing ribonucleoprotein complex export from nucleus	5
regulation of hematopoietic progenitor cell differentiation	5
aminoglycan biosynthetic process	5
mucopolysaccharide metabolic process	5
fibroblast growth factor receptor signaling pathway	5
female sex differentiation	5
positive regulation of cytokine secretion	5
nucleoside diphosphate phosphorylation	5
positive regulation of B cell activation	5
regulation of cellular carbohydrate metabolic process	5
interleukin-6 production	5
synaptic vesicle transport	5
establishment of synaptic vesicle localization	5
purine nucleoside diphosphate metabolic process	5
purine ribonucleoside diphosphate metabolic process	5
ribonucleoside diphosphate metabolic process	5
nucleotide phosphorylation	5
positive regulation of protein modification by small protein conjugation or removal	5
regulation of humoral immune response	5
innate immune response activating cell surface receptor signaling pathway	5
synaptic vesicle localization	5
adherens junction organization	5
regulation of sprouting angiogenesis	5
ribonucleoprotein complex export from nucleus	5
vacuolar transport	5
oxidative phosphorylation	5
toll-like receptor signaling pathway	5
learning	5
liver development	5
vesicle-mediated transport in synapse	5
neurotransmitter metabolic process	5
negative regulation of immune response	5
transition metal ion homeostasis	5
negative regulation of hemopoiesis	5
nucleoside diphosphate metabolic process	5
positive regulation of cysteine-type endopeptidase activity	5
phosphatidylinositol biosynthetic process	5
smooth muscle cell proliferation	5
RNA export from nucleus	5
regulation of acute inflammatory response	5
regulation of blood vessel endothelial cell migration	5
negative regulation of cellular response to growth factor stimulus	5
positive regulation of protein kinase B signaling	5
regulation of plasma membrane bounded cell projection assembly	5
regulation of cell projection assembly	5
sphingolipid metabolic process	5
sprouting angiogenesis	5
regulation of cytokine-mediated signaling pathway	5
endothelial cell proliferation	5
viral transcription	5
regulation of response to cytokine stimulus	5
meiotic cell cycle process	5
viral gene expression	5
cell-matrix adhesion	5
regulation of protein kinase B signaling	5
membrane fusion	5
protein dephosphorylation	5
preganglionic parasympathetic fiber development	5
cell surface receptor signaling pathway involved in heart development	5
vesicle docking involved in exocytosis	5
vesicle docking	5
calcium ion import	5
C-terminal protein lipidation	5
exocytic process	5
C-terminal protein amino acid modification	5
actin-mediated cell contraction	5
secondary palate development	4
heart field specification	4
ventral spinal cord interneuron specification	4
myoblast migration	4
negative regulation of ryanodine-sensitive calcium-release channel activity	4
trachea morphogenesis	4
cell fate specification involved in pattern specification	4
cardiac chamber formation	4
mineralocorticoid biosynthetic process	4
mineralocorticoid metabolic process	4
trigeminal nerve development	4
semaphorin-plexin signaling pathway involved in axon guidance	4
regulation of cell-cell adhesion mediated by cadherin	4
detection of calcium ion	4
quaternary ammonium group transport	4
protein localization to microtubule	4
maintenance of protein localization in endoplasmic reticulum	4
DNA deamination	4
ganglion development	4
semaphorin-plexin signaling pathway involved in neuron projection guidance	4
Golgi inheritance	4
ammonium transmembrane transport	4
cell migration in hindbrain	4
modulation by host of viral genome replication	4
organelle inheritance	4
negative regulation of release of sequestered calcium ion into cytosol	4
ventral spinal cord interneuron fate commitment	4
cell fate commitment involved in pattern specification	4
regulation of Golgi organization	4
epithelial cell maturation	4
regulation of cytolysis	4
regulation of transcription involved in cell fate commitment	4
neuron projection arborization	4
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	4
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	4
ventral spinal cord interneuron differentiation	4
cell proliferation involved in heart morphogenesis	4
cellular response to prostaglandin E stimulus	4
positive regulation of telomere capping	4
regulation of cell proliferation involved in heart morphogenesis	4
regulation of early endosome to late endosome transport	4
glucocorticoid biosynthetic process	4
response to caffeine	4
positive regulation of phosphoprotein phosphatase activity	4
response to diuretic	4
negative regulation of calcium ion transport into cytosol	4
embryonic digestive tract morphogenesis	4
nephron tubule formation	4
retinal ganglion cell axon guidance	4
regulation of urine volume	4
negative regulation of calcium-mediated signaling	4
presynapse organization	4
regulation of cytoplasmic transport	4
NLS-bearing protein import into nucleus	4
intermediate filament organization	4
cellular response to prostaglandin stimulus	4
neuronal stem cell population maintenance	4
dendritic cell chemotaxis	4
glutamine metabolic process	4
negative regulation of steroid biosynthetic process	4
spinal cord dorsal/ventral patterning	4
positive regulation of cAMP biosynthetic process	4
vitamin D metabolic process	4
benzene-containing compound metabolic process	4
regulation of respiratory gaseous exchange	4
phospholipid translocation	4
cell communication by electrical coupling involved in cardiac conduction	4
regulation of branching involved in ureteric bud morphogenesis	4
positive regulation of transcription regulatory region DNA binding	4
forebrain regionalization	4
lipid translocation	4
regulation of interleukin-8 secretion	4
spinal cord patterning	4
cartilage development involved in endochondral bone morphogenesis	4
regulation of rhodopsin mediated signaling pathway	4
modulation by host of viral process	4
regulation of ryanodine-sensitive calcium-release channel activity	4
regulation of mesonephros development	4
regulation of telomere capping	4
regulation of macrophage migration	4
dendritic cell migration	4
positive regulation of mesenchymal cell proliferation	4
cell communication by electrical coupling	4
response to pain	4
interleukin-8 secretion	4
positive regulation of peptidyl-threonine phosphorylation	4
reproductive behavior	4
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	4
regulation of TORC1 signaling	4
rhodopsin mediated signaling pathway	4
positive regulation of erythrocyte differentiation	4
negative regulation of signal transduction by p53 class mediator	4
negative regulation of protein localization to membrane	4
cardiac atrium morphogenesis	4
positive regulation of phosphatase activity	4
very long-chain fatty acid metabolic process	4
global genome nucleotide-excision repair	4
cellular response to osmotic stress	4
semaphorin-plexin signaling pathway	4
purine ribonucleotide catabolic process	4
positive regulation of phospholipase C activity	4
embryonic forelimb morphogenesis	4
ribonucleotide catabolic process	4
negative regulation of signal transduction in absence of ligand	4
positive regulation of protein import	4
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	4
negative regulation of lymphocyte mediated immunity	4
cardiac atrium development	4
protein insertion into mitochondrial membrane	4
regulation of mesenchymal cell proliferation	4
glial cell proliferation	4
positive regulation of TOR signaling	4
TORC1 signaling	4
positive regulation of calcium-mediated signaling	4
C21-steroid hormone metabolic process	4
histone phosphorylation	4
positive regulation of cytokinesis	4
protein localization to lysosome	4
cellular response to cadmium ion	4
pyrimidine-containing compound catabolic process	4
regulation of intrinsic apoptotic signaling pathway in response to DNA damage	4
anterograde axonal transport	4
positive regulation of protein dephosphorylation	4
positive regulation of embryonic development	4
early endosome to late endosome transport	4
positive regulation of glial cell differentiation	4
negative regulation of insulin secretion	4
chromatin silencing at rDNA	4
spliceosomal snRNP assembly	4
regulation of keratinocyte differentiation	4
regulation of membrane lipid distribution	4
amino sugar metabolic process	4
negative regulation of gliogenesis	4
stem cell division	4
regulation of cell adhesion mediated by integrin	4
regulation of fatty acid biosynthetic process	4
regulation of macrophage activation	4
cellular response to epidermal growth factor stimulus	4
positive regulation of kidney development	4
macrophage migration	4
detection of chemical stimulus involved in sensory perception of bitter taste	4
inner mitochondrial membrane organization	4
regulation of peptidyl-threonine phosphorylation	4
forelimb morphogenesis	4
vesicle transport along microtubule	4
vesicle-mediated transport between endosomal compartments	4
potassium ion import	4
eye photoreceptor cell differentiation	4
positive regulation of phospholipid metabolic process	4
fat-soluble vitamin metabolic process	4
regulation of DNA-templated transcription, elongation	4
ARF protein signal transduction	4
regulation of ARF protein signal transduction	4
response to progesterone	4
thymus development	4
detection of chemical stimulus involved in sensory perception of taste	4
sensory perception of bitter taste	4
establishment of protein localization to vacuole	4
negative regulation of mRNA catabolic process	4
antibacterial humoral response	4
endodermal cell differentiation	4
synaptic transmission, GABAergic	4
axonal transport	4
positive regulation of neural precursor cell proliferation	4
regulation of extrinsic apoptotic signaling pathway in absence of ligand	4
neural crest cell migration	4
regulation of chondrocyte differentiation	4
nucleobase-containing small molecule catabolic process	4
neuromuscular junction development	4
positive regulation of epithelial to mesenchymal transition	4
positive regulation of pathway-restricted SMAD protein phosphorylation	4
antibiotic catabolic process	4
alcohol catabolic process	4
regulation of catecholamine secretion	4
ventricular cardiac muscle tissue morphogenesis	4
positive regulation of phospholipase activity	4
vesicle cytoskeletal trafficking	4
negative regulation of mitochondrion organization	4
regulation of interleukin-12 production	4
regulation of organic acid transport	4
exocrine system development	4
sodium ion homeostasis	4
anion homeostasis	4
inorganic cation import across plasma membrane	4
inorganic ion import across plasma membrane	4
positive regulation of myeloid leukocyte differentiation	4
positive regulation of dephosphorylation	4
catecholamine secretion	4
cellular response to cAMP	4
negative regulation of RNA catabolic process	4
positive regulation of cellular carbohydrate metabolic process	4
interleukin-12 production	4
morphogenesis of an epithelial sheet	4
neuroblast proliferation	4
protein localization to cell surface	4
cellular response to vascular endothelial growth factor stimulus	4
regulation of protein import	4
axo-dendritic transport	4
telomere capping	4
platelet aggregation	4
negative regulation of reproductive process	4
regulation of immunoglobulin production	4
cytoplasmic microtubule organization	4
cell adhesion mediated by integrin	4
positive regulation of nucleocytoplasmic transport	4
positive regulation of viral life cycle	4
glutathione metabolic process	4
tetrapyrrole metabolic process	4
regulation of epidermal cell differentiation	4
polyol biosynthetic process	4
photoreceptor cell differentiation	4
positive regulation of cardiac muscle tissue development	4
protein localization to vacuole	4
ATP hydrolysis coupled cation transmembrane transport	4
regulation of toll-like receptor signaling pathway	4
positive regulation of fat cell differentiation	4
muscle fiber development	4
regulation of B cell proliferation	4
positive regulation of organ growth	4
regulation of pathway-restricted SMAD protein phosphorylation	4
cellular response to glucocorticoid stimulus	4
positive regulation of macroautophagy	4
positive regulation of lipase activity	4
histone H4 acetylation	4
embryonic pattern specification	4
response to cadmium ion	4
pathway-restricted SMAD protein phosphorylation	4
regulation of glial cell differentiation	4
cellular response to corticosteroid stimulus	4
positive regulation of protein localization to nucleus	4
regulation of cytokine production involved in immune response	4
phospholipid transport	4
positive regulation of epithelial cell differentiation	4
sensory perception of taste	4
SMAD protein signal transduction	4
androgen receptor signaling pathway	4
lysosome localization	4
interleukin-1 beta production	4
mitotic spindle assembly	4
collagen catabolic process	4
nitric oxide biosynthetic process	4
regulation of synaptic transmission, glutamatergic	4
cellular response to retinoic acid	4
positive regulation of dendrite development	4
signal transduction in absence of ligand	4
lymphocyte apoptotic process	4
dendritic spine organization	4
extrinsic apoptotic signaling pathway in absence of ligand	4
COPII-coated vesicle budding	4
import across plasma membrane	4
ribosomal small subunit biogenesis	4
negative regulation of wound healing	4
RNA phosphodiester bond hydrolysis, endonucleolytic	4
nitric oxide metabolic process	4
neuron projection organization	4
positive regulation of production of molecular mediator of immune response	4
positive regulation of interleukin-6 production	4
homotypic cell-cell adhesion	4
positive regulation of blood vessel endothelial cell migration	4
response to estrogen	4
regulation of phospholipid metabolic process	4
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	4
regulation of calcium ion-dependent exocytosis	4
reactive nitrogen species metabolic process	4
gluconeogenesis	4
regulation of translational initiation	4
striated muscle cell proliferation	4
T cell costimulation	4
regulation of blood coagulation	4
lymphocyte costimulation	4
antigen processing and presentation of exogenous peptide antigen via MHC class I	4
regulation of receptor-mediated endocytosis	4
regulation of hemostasis	4
positive regulation of neuron death	4
regulation of response to endoplasmic reticulum stress	4
regulation of calcium-mediated signaling	4
hexose biosynthetic process	4
Golgi vesicle budding	4
oogenesis	4
chaperone-mediated protein folding	4
T cell mediated immunity	4
interleukin-1 production	4
intrinsic apoptotic signaling pathway by p53 class mediator	4
regulation of coagulation	4
regulation of reactive oxygen species biosynthetic process	4
regulation of leukocyte apoptotic process	4
positive regulation of ossification	4
negative regulation of response to wounding	4
substrate adhesion-dependent cell spreading	4
monosaccharide biosynthetic process	4
