Biological Process	n
cholesterol metabolic process	2
chromosome condensation	2
chromosome separation	2
columnar/cuboidal epithelial cell development	2
connective tissue development	2
cranial nerve development	2
cranial nerve morphogenesis	2
cristae formation	2
cyclic nucleotide biosynthetic process	2
cyclic purine nucleotide metabolic process	2
cyclic-nucleotide-mediated signaling	2
cytokine production involved in inflammatory response	2
cytolysis	2
cytoskeleton-dependent cytokinesis	2
cytoskeleton-dependent intracellular transport	2
defense response to virus	2
definitive hemopoiesis	2
dendrite morphogenesis	2
dephosphorylation	2
detection of light stimulus	2
detection of visible light	2
determination of heart left/right asymmetry	2
development of primary male sexual characteristics	2
diencephalon development	2
digestion	2
digestive system process	2
DNA duplex unwinding	2
DNA recombination	2
DNA replication	2
DNA-templated transcription, elongation	2
dopamine receptor signaling pathway	2
drug catabolic process	2
drug transmembrane transport	2
dsRNA fragmentation	2
ectodermal placode development	2
ectodermal placode formation	2
ectodermal placode morphogenesis	2
embryonic camera-type eye development	2
embryonic camera-type eye morphogenesis	2
embryonic digit morphogenesis	2
embryonic eye morphogenesis	2
embryonic forelimb morphogenesis	2
embryonic heart tube development	2
embryonic heart tube morphogenesis	2
embryonic hindlimb morphogenesis	2
endocrine pancreas development	2
energy coupled proton transport, down electrochemical gradient	2
energy derivation by oxidation of organic compounds	2
entry into cell of other organism involved in symbiotic interaction	2
entry into host	2
entry into host cell	2
entry into other organism involved in symbiotic interaction	2
epithelial to mesenchymal transition	2
epithelial tube branching involved in lung morphogenesis	2
ER to Golgi vesicle-mediated transport	2
ERAD pathway	2
erythrocyte differentiation	2
erythrocyte homeostasis	2
establishment of protein localization to mitochondrion	2
extracellular matrix organization	2
fatty acid catabolic process	2
Fc receptor mediated stimulatory signaling pathway	2
Fc-epsilon receptor signaling pathway	2
Fc-gamma receptor signaling pathway	2
Fc-gamma receptor signaling pathway involved in phagocytosis	2
female pregnancy	2
female sex differentiation	2
fibroblast growth factor receptor signaling pathway	2
forebrain generation of neurons	2
forebrain neuron differentiation	2
forebrain regionalization	2
foregut morphogenesis	2
forelimb morphogenesis	2
G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	2
G1/S transition of mitotic cell cycle	2
gastrulation with mouth forming second	2
gland morphogenesis	2
glandular epithelial cell differentiation	2
glial cell development	2
glucose metabolic process	2
glucose transmembrane transport	2
glucuronate metabolic process	2
hair cycle process	2
hair follicle development	2
head morphogenesis	2
heart formation	2
heart looping	2
hematopoietic stem cell differentiation	2
hepaticobiliary system development	2
hexose transmembrane transport	2
hindlimb morphogenesis	2
histone acetylation	2
homeostasis of number of cells	2
homotypic cell-cell adhesion	2
icosanoid metabolic process	2
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	2
inorganic anion transport	2
inositol lipid-mediated signaling	2
inositol phosphate metabolic process	2
interaction with symbiont	2
interferon-gamma-mediated signaling pathway	2
interleukin-1 beta production	2
interleukin-1 beta secretion	2
interleukin-1 production	2
interleukin-1 secretion	2
interleukin-1-mediated signaling pathway	2
interleukin-6 production	2
interleukin-8 production	2
interleukin-8 secretion	2
intermediate filament organization	2
internal peptidyl-lysine acetylation	2
intestinal epithelial cell differentiation	2
intracellular estrogen receptor signaling pathway	2
intracellular steroid hormone receptor signaling pathway	2
JNK cascade	2
kidney epithelium development	2
L-alpha-amino acid transmembrane transport	2
L-amino acid transport	2
leukocyte apoptotic process	2
leukocyte cell-cell adhesion	2
leukocyte migration	2
limbic system development	2
lipid homeostasis	2
lipid translocation	2
lipopolysaccharide-mediated signaling pathway	2
lipoprotein biosynthetic process	2
lipoprotein metabolic process	2
lung alveolus development	2
lung secretory cell differentiation	2
lymphocyte differentiation	2
macromolecule deacylation	2
maintenance of mitotic sister chromatid cohesion	2
maintenance of sister chromatid cohesion	2
male gonad development	2
mammary gland alveolus development	2
mammary gland epithelial cell differentiation	2
mammary gland epithelial cell proliferation	2
mammary gland lobule development	2
maturation of SSU-rRNA	2
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	2
megakaryocyte differentiation	2
meiotic cell cycle	2
meiotic cell cycle process	2
mesenchymal cell development	2
mesonephric epithelium development	2
mesonephric tubule development	2
mesonephros development	2
metanephros development	2
metencephalon development	2
microtubule cytoskeleton organization involved in mitosis	2
microtubule nucleation	2
microtubule polymerization	2
middle ear morphogenesis	2
miRNA metabolic process	2
mitochondrial ATP synthesis coupled proton transport	2
mitochondrial calcium ion homeostasis	2
mitochondrial gene expression	2
mitochondrial genome maintenance	2
mitochondrial RNA metabolic process	2
mitochondrial RNA processing	2
mitochondrial tRNA processing	2
mitotic chromosome condensation	2
mitotic cytokinesis	2
mitotic DNA damage checkpoint	2
mitotic DNA integrity checkpoint	2
mitotic sister chromatid cohesion	2
mitotic spindle organization	2
modification by host of symbiont morphology or physiology	2
modulation by host of viral genome replication	2
modulation by host of viral process	2
modulation by symbiont of host cellular process	2
modulation by virus of host process	2
molting cycle process	2
monocarboxylic acid catabolic process	2
monocarboxylic acid transport	2
monosaccharide transmembrane transport	2
monovalent inorganic cation homeostasis	2
motor neuron axon guidance	2
mRNA cleavage	2
mRNA destabilization	2
mRNA transport	2
multi-multicellular organism process	2
multi-organism localization	2
multi-organism transport	2
multicellular organismal homeostasis	2
muscle cell apoptotic process	2
muscle cell proliferation	2
MyD88-independent toll-like receptor signaling pathway	2
myeloid cell homeostasis	2
N-terminal protein amino acid acetylation	2
N-terminal protein amino acid modification	2
ncRNA transcription	2
necroptotic process	2
necrotic cell death	2
negative regulation by host of viral process	2
negative regulation of apoptotic signaling pathway	2
negative regulation of calcium ion transmembrane transport	2
negative regulation of calcium ion transmembrane transporter activity	2
negative regulation of calcium ion transport	2
negative regulation of cation channel activity	2
negative regulation of cell cycle G2/M phase transition	2
negative regulation of cell fate commitment	2
negative regulation of cellular component movement	2
negative regulation of cellular protein localization	2
negative regulation of cytokine production	2
negative regulation of cytokine secretion	2
negative regulation of defense response	2
negative regulation of DNA metabolic process	2
negative regulation of embryonic development	2
negative regulation of epithelial cell differentiation	2
negative regulation of ERK1 and ERK2 cascade	2
negative regulation of fibroblast proliferation	2
negative regulation of gliogenesis	2
negative regulation of hormone secretion	2
negative regulation of hydrolase activity	2
negative regulation of inflammatory response	2
negative regulation of insulin secretion	2
negative regulation of intrinsic apoptotic signaling pathway	2
negative regulation of leukocyte proliferation	2
negative regulation of locomotion	2
negative regulation of lymphocyte activation	2
negative regulation of lymphocyte proliferation	2
negative regulation of MAPK cascade	2
negative regulation of mononuclear cell proliferation	2
negative regulation of muscle cell differentiation	2
negative regulation of muscle organ development	2
negative regulation of muscle tissue development	2
negative regulation of necroptotic process	2
negative regulation of necrotic cell death	2
negative regulation of neuron death	2
negative regulation of neuron differentiation	2
negative regulation of NF-kappaB transcription factor activity	2
negative regulation of peptide hormone secretion	2
negative regulation of protein binding	2
negative regulation of protein complex disassembly	2
negative regulation of protein depolymerization	2
negative regulation of protein kinase activity	2
negative regulation of sequestering of calcium ion	2
negative regulation of sodium ion transmembrane transport	2
negative regulation of sodium ion transmembrane transporter activity	2
negative regulation of sodium ion transport	2
negative regulation of striated muscle tissue development	2
negative regulation of supramolecular fiber organization	2
negative regulation of toll-like receptor signaling pathway	2
negative regulation of transcription regulatory region DNA binding	2
negative regulation of viral genome replication	2
nephron development	2
nerve development	2
neural crest cell development	2
neural crest cell differentiation	2
neural nucleus development	2
neural precursor cell proliferation	2
neuromuscular process controlling balance	2
neuronal stem cell population maintenance	2
neurotransmitter secretion	2
nicotinamide nucleotide biosynthetic process	2
nicotinamide nucleotide metabolic process	2
NIK/NF-kappaB signaling	2
nuclear-transcribed mRNA poly(A) tail shortening	2
nucleobase metabolic process	2
nucleoside metabolic process	2
nucleosome assembly	2
nucleosome organization	2
nucleotide-excision repair, DNA damage recognition	2
nucleotide-sugar biosynthetic process	2
nucleotide-sugar metabolic process	2
nucleus organization	2
oligodendrocyte differentiation	2
one-carbon metabolic process	2
oxidative phosphorylation	2
pallium development	2
parasympathetic nervous system development	2
peptide hormone processing	2
peptidyl-lysine acetylation	2
peptidyl-lysine methylation	2
pharyngeal system development	2
phenol-containing compound metabolic process	2
phosphatidylinositol 3-kinase signaling	2
phosphatidylinositol-mediated signaling	2
phospholipase C-activating G-protein coupled receptor signaling pathway	2
phospholipid translocation	2
phospholipid transport	2
phototransduction	2
phototransduction, visible light	2
pigmentation	2
pituitary gland development	2
platelet aggregation	2
polyol metabolic process	2
positive regulation of angiogenesis	2
positive regulation of autophagy	2
positive regulation of calcium ion transport	2
positive regulation of canonical Wnt signaling pathway	2
positive regulation of cell growth	2
positive regulation of cell-cell adhesion	2
positive regulation of cell-substrate adhesion	2
positive regulation of cellular carbohydrate metabolic process	2
positive regulation of cGMP metabolic process	2
positive regulation of chemotaxis	2
positive regulation of cyclic nucleotide metabolic process	2
positive regulation of cytokine secretion	2
positive regulation of cytokinesis	2
positive regulation of embryonic development	2
positive regulation of epithelial cell migration	2
positive regulation of gene expression, epigenetic	2
positive regulation of hemopoiesis	2
positive regulation of immune effector process	2
positive regulation of insulin secretion	2
positive regulation of ion transmembrane transport	2
positive regulation of ion transmembrane transporter activity	2
positive regulation of JNK cascade	2
positive regulation of leukocyte proliferation	2
positive regulation of lipid metabolic process	2
positive regulation of lymphocyte activation	2
positive regulation of lymphocyte proliferation	2
positive regulation of mitotic cell cycle	2
positive regulation of mononuclear cell proliferation	2
positive regulation of myeloid cell differentiation	2
positive regulation of neuron death	2
positive regulation of NF-kappaB transcription factor activity	2
positive regulation of nitric oxide biosynthetic process	2
positive regulation of nitric oxide metabolic process	2
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
positive regulation of nucleotide biosynthetic process	2
positive regulation of peptide hormone secretion	2
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	2
positive regulation of protein localization to cell periphery	2
positive regulation of protein localization to membrane	2
positive regulation of protein localization to plasma membrane	2
positive regulation of purine nucleotide biosynthetic process	2
positive regulation of reactive oxygen species biosynthetic process	2
positive regulation of smoothened signaling pathway	2
positive regulation of stem cell proliferation	2
positive regulation of telomere capping	2
positive regulation of transporter activity	2
positive regulation of ubiquitin-dependent protein catabolic process	2
positive regulation of vasculature development	2
positive regulation of viral process	2
post-translational protein modification	2
potassium ion transmembrane transport	2
preganglionic parasympathetic fiber development	2
presynaptic process involved in chemical synaptic transmission	2
production of miRNAs involved in gene silencing by miRNA	2
production of molecular mediator involved in inflammatory response	2
production of small RNA involved in gene silencing by RNA	2
programmed necrotic cell death	2
protein ADP-ribosylation	2
protein alkylation	2
protein deacylation	2
protein import into nucleus, translocation	2
protein insertion into membrane	2
protein lipidation	2
protein localization to chromosome	2
protein localization to chromosome, telomeric region	2
protein localization to microtubule	2
protein localization to mitochondrion	2
protein methylation	2
protein stabilization	2
protein targeting	2
proximal/distal pattern formation	2
purine nucleoside metabolic process	2
purine ribonucleoside metabolic process	2
purine ribonucleotide catabolic process	2
pyridine nucleotide biosynthetic process	2
pyridine nucleotide metabolic process	2
pyridine-containing compound biosynthetic process	2
pyridine-containing compound metabolic process	2
pyrimidine nucleobase metabolic process	2
pyruvate metabolic process	2
quinone metabolic process	2
receptor metabolic process	2
regulation of actin filament length	2
regulation of actin filament organization	2
regulation of actin filament polymerization	2
regulation of actin polymerization or depolymerization	2
regulation of acute inflammatory response	2
regulation of blood coagulation	2
regulation of blood vessel size	2
regulation of calcium ion transmembrane transporter activity	2
regulation of calcium ion transport into cytosol	2
regulation of cardiac conduction	2
regulation of cardiocyte differentiation	2
regulation of cation channel activity	2
regulation of cell cycle arrest	2
regulation of cell fate commitment	2
regulation of cell fate specification	2
regulation of cell projection assembly	2
regulation of cellular response to growth factor stimulus	2
regulation of cellular response to heat	2
regulation of cellular response to oxidative stress	2
regulation of cellular response to transforming growth factor beta stimulus	2
regulation of cGMP metabolic process	2
regulation of chromatin organization	2
regulation of circadian rhythm	2
regulation of coagulation	2
regulation of complement activation	2
regulation of cyclic nucleotide metabolic process	2
regulation of cyclin-dependent protein kinase activity	2
regulation of cyclin-dependent protein serine/threonine kinase activity	2
regulation of cytokine production involved in inflammatory response	2
regulation of cytokinesis	2
regulation of defense response to virus	2
regulation of DNA repair	2
regulation of endopeptidase activity	2
regulation of epidermis development	2
regulation of epithelial cell migration	2
regulation of epithelial to mesenchymal transition	2
regulation of epithelial tube formation	2
regulation of erythrocyte differentiation	2
regulation of exocytosis	2
regulation of G-protein coupled receptor protein signaling pathway	2
regulation of gliogenesis	2
regulation of glucose metabolic process	2
regulation of GTPase activity	2
regulation of hematopoietic progenitor cell differentiation	2
regulation of hematopoietic stem cell differentiation	2
regulation of hemostasis	2
regulation of humoral immune response	2
regulation of interleukin-6 production	2
regulation of interleukin-8 production	2
regulation of interleukin-8 secretion	2
regulation of JNK cascade	2
regulation of leukocyte apoptotic process	2
regulation of leukocyte cell-cell adhesion	2
regulation of leukocyte differentiation	2
regulation of leukocyte mediated immunity	2
regulation of lipase activity	2
regulation of lipid biosynthetic process	2
regulation of lipid catabolic process	2
regulation of macroautophagy	2
regulation of macrophage activation	2
regulation of membrane lipid distribution	2
regulation of membrane permeability	2
regulation of mitochondrial membrane permeability	2
regulation of muscle cell apoptotic process	2
regulation of necroptotic process	2
regulation of necrotic cell death	2
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2
regulation of nucleotide biosynthetic process	2
regulation of organelle assembly	2
regulation of ossification	2
regulation of oxidative stress-induced cell death	2
regulation of peptidase activity	2
regulation of peptidyl-tyrosine phosphorylation	2
regulation of phosphatidylinositol 3-kinase signaling	2
regulation of phospholipase activity	2
regulation of phospholipase C activity	2
regulation of plasma membrane bounded cell projection assembly	2
regulation of postsynaptic membrane potential	2
regulation of proteasomal ubiquitin-dependent protein catabolic process	2
regulation of protein activation cascade	2
regulation of protein binding	2
regulation of protein localization to cell periphery	2
regulation of protein localization to membrane	2
regulation of protein localization to plasma membrane	2
regulation of protein maturation	2
regulation of protein polymerization	2
regulation of protein processing	2
regulation of purine nucleotide biosynthetic process	2
regulation of regulated secretory pathway	2
regulation of release of sequestered calcium ion into cytosol	2
regulation of respiratory gaseous exchange	2
regulation of response to biotic stimulus	2
regulation of response to DNA damage stimulus	2
regulation of response to oxidative stress	2
regulation of sequestering of calcium ion	2
regulation of sister chromatid cohesion	2
regulation of smooth muscle cell differentiation	2
regulation of sodium ion transmembrane transport	2
regulation of sodium ion transmembrane transporter activity	2
regulation of sodium ion transport	2
regulation of stem cell population maintenance	2
regulation of synapse structure or activity	2
regulation of T cell activation	2
regulation of T cell proliferation	2
regulation of telomere capping	2
regulation of transcription involved in cell fate commitment	2
regulation of transcription regulatory region DNA binding	2
regulation of transforming growth factor beta receptor signaling pathway	2
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
regulation of tube size	2
regulation of ubiquitin-dependent protein catabolic process	2
release of sequestered calcium ion into cytosol	2
respiratory system process	2
response to alcohol	2
response to alkaloid	2
response to angiotensin	2
response to antineoplastic agent	2
response to cold	2
response to epidermal growth factor	2
response to interferon-gamma	2
response to ischemia	2
response to metal ion	2
response to nicotine	2
response to organophosphorus	2
response to prostaglandin	2
response to prostaglandin E	2
response to purine-containing compound	2
response to retinoic acid	2
response to UV	2
response to virus	2
ribonucleoside metabolic process	2
ribonucleotide catabolic process	2
RNA destabilization	2
RNA secondary structure unwinding	2
secondary alcohol biosynthetic process	2
secondary alcohol metabolic process	2
secondary metabolite biosynthetic process	2
secondary palate development	2
secretion by tissue	2
semaphorin-plexin signaling pathway	2
semaphorin-plexin signaling pathway involved in axon guidance	2
semaphorin-plexin signaling pathway involved in neuron projection guidance	2
sensory perception of light stimulus	2
sensory perception of pain	2
sequestering of calcium ion	2
signal release from synapse	2
signal transduction in response to DNA damage	2
signal transduction involved in DNA damage checkpoint	2
signal transduction involved in DNA integrity checkpoint	2
single fertilization	2
sister chromatid cohesion	2
skeletal muscle tissue regeneration	2
skin epidermis development	2
snRNA metabolic process	2
snRNA transcription	2
snRNA transcription by RNA polymerase II	2
somatic stem cell division	2
spermatid development	2
spinal cord dorsal/ventral patterning	2
spinal cord motor neuron cell fate specification	2
spinal cord patterning	2
stem cell development	2
steroid biosynthetic process	2
sterol biosynthetic process	2
sterol metabolic process	2
stimulatory C-type lectin receptor signaling pathway	2
sympathetic nervous system development	2
synaptic transmission, GABAergic	2
synaptic transmission, glutamatergic	2
synaptic vesicle cycle	2
T cell differentiation	2
T cell differentiation in thymus	2
T cell proliferation	2
telencephalon regionalization	2
telomere capping	2
thymus development	2
tissue regeneration	2
toll-like receptor 3 signaling pathway	2
toll-like receptor 4 signaling pathway	2
trachea morphogenesis	2
transcription elongation from RNA polymerase II promoter	2
transcription-coupled nucleotide-excision repair	2
transforming growth factor beta receptor signaling pathway	2
tRNA threonylcarbamoyladenosine metabolic process	2
trophectodermal cell differentiation	2
tumor necrosis factor-mediated signaling pathway	2
ubiquitin-dependent ERAD pathway	2
ureter development	2
ureteric bud development	2
uronic acid metabolic process	2
vacuole organization	2
vascular process in circulatory system	2
vasculogenesis	2
ventral spinal cord interneuron differentiation	2
ventral spinal cord interneuron fate commitment	2
ventral spinal cord interneuron specification	2
vesicle organization	2
viral entry into host cell	2
visual perception	2
xenobiotic catabolic process	2
zymogen activation	2
'de novo' protein folding	1
2'-deoxyribonucleotide biosynthetic process	1
2'-deoxyribonucleotide metabolic process	1
3'-UTR-mediated mRNA stabilization	1
7-methylguanosine mRNA capping	1
7-methylguanosine RNA capping	1
acetyl-CoA metabolic process	1
acetylcholine receptor signaling pathway	1
acidic amino acid transport	1
acrosome assembly	1
acrosome reaction	1
actin cytoskeleton reorganization	1
actin filament capping	1
actin filament depolymerization	1
activation of adenylate cyclase activity	1
activation of cysteine-type endopeptidase activity	1
activation of NF-kappaB-inducing kinase activity	1
activation of protein kinase A activity	1
actomyosin structure organization	1
acyl-CoA biosynthetic process	1
acyl-CoA metabolic process	1
acylglycerol catabolic process	1
acylglycerol metabolic process	1
adaptive thermogenesis	1
adenine nucleotide transport	1
adenosine metabolic process	1
adenosine receptor signaling pathway	1
adenylate cyclase-activating dopamine receptor signaling pathway	1
adenylate cyclase-activating G-protein coupled receptor signaling pathway	1
adenylate cyclase-inhibiting dopamine receptor signaling pathway	1
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	1
adhesion of symbiont to host	1
adhesion of symbiont to host cell	1
ADP metabolic process	1
ADP transport	1
adult walking behavior	1
aerobic respiration	1
alcohol catabolic process	1
alpha-linolenic acid metabolic process	1
amine catabolic process	1
amine transport	1
amino acid activation	1
amino sugar biosynthetic process	1
amino sugar metabolic process	1
ammonium transport	1
anaphase-promoting complex-dependent catabolic process	1
androgen metabolic process	1
angiotensin-activated signaling pathway	1
animal organ regeneration	1
anion homeostasis	1
anterior/posterior axis specification, embryo	1
antibiotic catabolic process	1
antimicrobial humoral immune response mediated by antimicrobial peptide	1
aorta development	1
aorta morphogenesis	1
apoptotic cell clearance	1
apoptotic process involved in development	1
arachidonic acid metabolic process	1
aromatic amino acid family catabolic process	1
aromatic amino acid family metabolic process	1
astrocyte development	1
ATP generation from ADP	1
ATP transport	1
autophagy of mitochondrion	1
axis elongation	1
axon ensheathment	1
B cell activation involved in immune response	1
B cell apoptotic process	1
B cell differentiation	1
B cell mediated immunity	1
B cell proliferation	1
B cell receptor signaling pathway	1
base-excision repair	1
behavioral response to pain	1
beta-catenin-TCF complex assembly	1
bicellular tight junction assembly	1
bile acid and bile salt transport	1
binding of sperm to zona pellucida	1
blastoderm segmentation	1
BMP signaling pathway	1
bone cell development	1
bone development	1
branch elongation of an epithelium	1
branched-chain amino acid catabolic process	1
branched-chain amino acid metabolic process	1
branching involved in labyrinthine layer morphogenesis	1
branching involved in mammary gland duct morphogenesis	1
branching involved in salivary gland morphogenesis	1
branching involved in ureteric bud morphogenesis	1
bronchus development	1
brown fat cell differentiation	1
C21-steroid hormone metabolic process	1
calcium import into the mitochondrion	1
calcium ion import	1
calcium ion regulated exocytosis	1
calcium ion-regulated exocytosis of neurotransmitter	1
cAMP biosynthetic process	1
cAMP catabolic process	1
carbohydrate biosynthetic process	1
carbohydrate catabolic process	1
cardiac chamber formation	1
cardiac conduction system development	1
cardiac left ventricle morphogenesis	1
cardiac muscle cell action potential	1
cardiac muscle cell apoptotic process	1
cardiac muscle cell fate commitment	1
cardiac myofibril assembly	1
cardiac neural crest cell development involved in heart development	1
cardiac neural crest cell differentiation involved in heart development	1
cardiac ventricle formation	1
cardioblast proliferation	1
carnitine shuttle	1
cartilage morphogenesis	1
catechol-containing compound metabolic process	1
catecholamine metabolic process	1
caveolin-mediated endocytosis	1
cell adhesion mediated by integrin	1
cell aging	1
cell communication involved in cardiac conduction	1
cell differentiation involved in embryonic placenta development	1
cell migration involved in gastrulation	1
cell proliferation involved in heart morphogenesis	1
cell redox homeostasis	1
cell surface receptor signaling pathway involved in heart development	1
cell wall macromolecule metabolic process	1
cell wall organization or biogenesis	1
cell-cell signaling involved in cardiac conduction	1
cell-substrate junction assembly	1
cellular aldehyde metabolic process	1
cellular biogenic amine catabolic process	1
cellular biogenic amine metabolic process	1
cellular defense response	1
cellular hyperosmotic response	1
cellular monovalent inorganic cation homeostasis	1
cellular respiration	1
cellular response to acetylcholine	1
cellular response to alkaloid	1
cellular response to amino acid stimulus	1
cellular response to amyloid-beta	1
cellular response to arsenic-containing substance	1
cellular response to BMP stimulus	1
cellular response to cadmium ion	1
cellular response to cAMP	1
cellular response to catecholamine stimulus	1
cellular response to corticosteroid stimulus	1
cellular response to dopamine	1
cellular response to epidermal growth factor stimulus	1
cellular response to ethanol	1
cellular response to forskolin	1
cellular response to glucagon stimulus	1
cellular response to glucocorticoid stimulus	1
cellular response to growth hormone stimulus	1
cellular response to inorganic substance	1
cellular response to interleukin-12	1
cellular response to interleukin-4	1
cellular response to lipoprotein particle stimulus	1
cellular response to metal ion	1
cellular response to monoamine stimulus	1
cellular response to nitrogen levels	1
cellular response to nitrogen starvation	1
cellular response to nutrient	1
cellular response to pH	1
cellular response to thyroid hormone stimulus	1
cellular response to type I interferon	1
cellular response to vascular endothelial growth factor stimulus	1
cellular senescence	1
central nervous system neuron development	1
centriole assembly	1
centriole replication	1
centromeric sister chromatid cohesion	1
centrosome cycle	1
centrosome duplication	1
centrosome localization	1
cerebellar cortex development	1
cerebellar granular layer development	1
cerebellum development	1
cerebral cortex cell migration	1
cerebral cortex radially oriented cell migration	1
chaperone-mediated protein folding	1
chloride transmembrane transport	1
chloride transport	1
cholesterol homeostasis	1
cholesterol transport	1
chromosome organization involved in meiotic cell cycle	1
circadian behavior	1
citrate metabolic process	1
cleavage involved in rRNA processing	1
coenzyme A biosynthetic process	1
coenzyme A metabolic process	1
cofactor catabolic process	1
cognition	1
collateral sprouting	1
complement activation, lectin pathway	1
cortical actin cytoskeleton organization	1
cortical cytoskeleton organization	1
cyclic nucleotide catabolic process	1
cytokinetic process	1
cytoplasmic microtubule organization	1
cytoplasmic pattern recognition receptor signaling pathway	1
cytoplasmic pattern recognition receptor signaling pathway in response to virus	1
cytoplasmic translation	1
cytosolic transport	1
defense response to bacterium	1
dendritic spine development	1
deoxyribonucleoside triphosphate metabolic process	1
deoxyribonucleotide biosynthetic process	1
deoxyribonucleotide metabolic process	1
deoxyribose phosphate biosynthetic process	1
deoxyribose phosphate metabolic process	1
detection of bacterium	1
detection of biotic stimulus	1
detection of chemical stimulus involved in sensory perception	1
detection of chemical stimulus involved in sensory perception of bitter taste	1
detection of chemical stimulus involved in sensory perception of taste	1
detection of external biotic stimulus	1
detection of molecule of bacterial origin	1
detection of other organism	1
detection of temperature stimulus	1
detection of temperature stimulus involved in sensory perception	1
detection of temperature stimulus involved in sensory perception of pain	1
development of primary female sexual characteristics	1
developmental pigmentation	1
dicarboxylic acid biosynthetic process	1
dicarboxylic acid metabolic process	1
dicarboxylic acid transport	1
dichotomous subdivision of an epithelial terminal unit	1
diterpenoid metabolic process	1
DNA alkylation	1
DNA damage response, signal transduction by p53 class mediator	1
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	1
DNA ligation	1
DNA methylation	1
DNA methylation or demethylation	1
DNA modification	1
DNA-dependent DNA replication	1
DNA-templated transcriptional preinitiation complex assembly	1
dopamine metabolic process	1
dorsal spinal cord development	1
dorsal/ventral axis specification	1
double-strand break repair via nonhomologous end joining	1
early endosome to late endosome transport	1
ectoderm development	1
electron transport chain	1
embryo implantation	1
embryonic axis specification	1
embryonic camera-type eye formation	1
embryonic hemopoiesis	1
embryonic pattern specification	1
embryonic placenta morphogenesis	1
endocardial cushion development	1
endocardium development	1
endocrine hormone secretion	1
endocrine process	1
endoderm development	1
endoderm formation	1
endodermal cell differentiation	1
endodermal cell fate commitment	1
endonucleolytic cleavage involved in rRNA processing	1
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1
endosome to lysosome transport	1
endothelial cell differentiation	1
endothelial cell migration	1
endothelial cell proliferation	1
endothelium development	1
energy reserve metabolic process	1
ensheathment of neurons	1
enteroendocrine cell differentiation	1
entrainment of circadian clock	1
epidermis morphogenesis	1
epithelial cell apoptotic process	1
epithelial cell morphogenesis	1
epithelial cell-cell adhesion	1
epoxygenase P450 pathway	1
ERBB signaling pathway	1
erythrocyte development	1
erythrocyte maturation	1
establishment of apical/basal cell polarity	1
establishment of cell polarity	1
establishment of epithelial cell apical/basal polarity	1
establishment of epithelial cell polarity	1
establishment of monopolar cell polarity	1
establishment of planar polarity involved in neural tube closure	1
establishment of planar polarity of embryonic epithelium	1
establishment of protein localization to chromosome	1
establishment of protein localization to plasma membrane	1
establishment of protein localization to telomere	1
establishment of synaptic vesicle localization	1
establishment of vesicle localization	1
establishment or maintenance of monopolar cell polarity	1
excitatory postsynaptic potential	1
excretion	1
execution phase of apoptosis	1
exocrine system development	1
exogenous drug catabolic process	1
exploration behavior	1
extrinsic apoptotic signaling pathway	1
eyelid development in camera-type eye	1
face morphogenesis	1
facial nerve development	1
facial nerve morphogenesis	1
fatty acid beta-oxidation	1
fatty acid beta-oxidation using acyl-CoA oxidase	1
fatty acid derivative biosynthetic process	1
fatty acid homeostasis	1
fatty acid oxidation	1
fatty acid transmembrane transport	1
fatty acid transport	1
fatty-acyl-CoA biosynthetic process	1
fatty-acyl-CoA metabolic process	1
feeding behavior	1
female genitalia development	1
female gonad development	1
fibroblast migration	1
forebrain cell migration	1
forebrain neuron development	1
G-protein coupled acetylcholine receptor signaling pathway	1
G-protein coupled purinergic receptor signaling pathway	1
G0 to G1 transition	1
G1 DNA damage checkpoint	1
G2 DNA damage checkpoint	1
gamma-aminobutyric acid signaling pathway	1
ganglion development	1
gas transport	1
genitalia development	1
glandular epithelial cell development	1
glial cell activation	1
glial cell fate commitment	1
glial cell proliferation	1
global genome nucleotide-excision repair	1
glomerulus development	1
glomerulus vasculature development	1
gluconeogenesis	1
glucose import	1
glutamate receptor signaling pathway	1
glutamine family amino acid metabolic process	1
glutamine metabolic process	1
glutathione derivative biosynthetic process	1
glutathione derivative metabolic process	1
glutathione metabolic process	1
glycerolipid biosynthetic process	1
glycerolipid catabolic process	1
glycerophospholipid biosynthetic process	1
glycolipid biosynthetic process	1
glycolipid metabolic process	1
glycolytic process	1
glycoside metabolic process	1
GMP metabolic process	1
Golgi inheritance	1
Golgi ribbon formation	1
Golgi to plasma membrane protein transport	1
Golgi to plasma membrane transport	1
gonadotropin secretion	1
GPI anchor biosynthetic process	1
GPI anchor metabolic process	1
granulocyte chemotaxis	1
granulocyte differentiation	1
granulocyte migration	1
growth hormone receptor signaling pathway	1
guanosine-containing compound metabolic process	1
hair follicle morphogenesis	1
